"bgc_id"	"on_contig_edge"	"length_nt"	"gcf_id"	"orig_folder"	"orig_filename"
34	0	61721	1402	GCA_000010625.1	AP009552.1.region011.gbk
35	0	65172	1188	GCA_000010625.1	AP009552.1.region012.gbk
36	0	20298	543	GCA_000011345.1	BA000039.2.region001.gbk
37	0	19710	781	GCA_000011345.1	BA000039.2.region002.gbk
38	0	21929	209	GCA_000011345.1	BA000039.2.region003.gbk
39	0	34354	776	GCA_000011385.1	BA000045.2.region001.gbk
40	0	18762	904	GCA_000011385.1	BA000045.2.region002.gbk
41	0	22688	72	GCA_000011385.1	BA000045.2.region003.gbk
42	0	75909	1859	GCA_000011385.1	BA000045.2.region004.gbk
43	0	41104	1398	GCA_000011385.1	BA000045.2.region005.gbk
44	0	66320	1854	GCA_000011385.1	BA000045.2.region006.gbk
45	0	23185	676	GCA_000011385.1	BA000045.2.region007.gbk
46	0	53958	1582	GCA_000011385.1	BA000045.2.region008.gbk
47	0	19243	897	GCA_000011465.1	BX548174.1.region001.gbk
48	0	20608	456	GCA_000011465.1	BX548174.1.region002.gbk
49	0	21212	826	GCA_000011465.1	BX548174.1.region003.gbk
50	0	23225	59	GCA_000011485.1	BX548175.1.region001.gbk
51	0	41095	1389	GCA_000011485.1	BX548175.1.region002.gbk
52	0	19985	408	GCA_000011485.1	BX548175.1.region003.gbk
53	0	19575	316	GCA_000011485.1	BX548175.1.region004.gbk
54	0	20942	897	GCA_000011485.1	BX548175.1.region005.gbk
55	0	19492	897	GCA_000012465.1	CP000095.2.region001.gbk
56	0	20680	586	GCA_000012465.1	CP000095.2.region002.gbk
57	0	21245	827	GCA_000012465.1	CP000095.2.region003.gbk
58	0	20309	897	GCA_000012505.1	CP000097.1.region001.gbk
59	0	21224	271	GCA_000012505.1	CP000097.1.region002.gbk
60	0	41092	1507	GCA_000012505.1	CP000097.1.region003.gbk
61	0	19651	806	GCA_000012525.1	CP000100.1.region001.gbk
62	0	21236	837	GCA_000012525.1	CP000100.1.region002.gbk
63	0	19667	408	GCA_000012625.1	CP000110.1.region001.gbk
64	0	20909	897	GCA_000012625.1	CP000110.1.region002.gbk
65	0	21017	714	GCA_000012625.1	CP000110.1.region003.gbk
66	0	19281	897	GCA_000012645.1	CP000111.1.region001.gbk
67	0	20549	456	GCA_000012645.1	CP000111.1.region002.gbk
68	0	21212	826	GCA_000012645.1	CP000111.1.region003.gbk
69	0	20888	174	GCA_000013205.1	CP000239.1.region001.gbk
70	0	20879	174	GCA_000013225.1	CP000240.1.region001.gbk
71	0	42469	466	GCA_000014265.1	CP000393.1.region001.gbk
72	0	19570	282	GCA_000014265.1	CP000393.1.region002.gbk
73	0	18978	150	GCA_000014265.1	CP000393.1.region003.gbk
74	0	41119	930	GCA_000014265.1	CP000393.1.region004.gbk
75	0	27515	886	GCA_000014265.1	CP000393.1.region005.gbk
76	0	43594	938	GCA_000014265.1	CP000393.1.region006.gbk
77	0	62086	1829	GCA_000014265.1	CP000393.1.region007.gbk
78	0	20978	448	GCA_000014265.1	CP000393.1.region008.gbk
79	0	20321	87	GCA_000014265.1	CP000393.1.region009.gbk
80	0	18921	408	GCA_000014585.1	CP000435.1.region001.gbk
81	0	41095	1329	GCA_000014585.1	CP000435.1.region002.gbk
82	0	20909	897	GCA_000014585.1	CP000435.1.region003.gbk
83	0	19273	897	GCA_000015645.1	CP000551.1.region001.gbk
84	0	20531	456	GCA_000015645.1	CP000551.1.region002.gbk
85	0	21212	826	GCA_000015645.1	CP000551.1.region003.gbk
86	0	19339	897	GCA_000015665.1	CP000552.1.region001.gbk
87	0	20591	456	GCA_000015665.1	CP000552.1.region002.gbk
88	0	21212	826	GCA_000015665.1	CP000552.1.region003.gbk
89	0	19488	897	GCA_000015685.1	CP000553.1.region001.gbk
90	0	20675	586	GCA_000015685.1	CP000553.1.region002.gbk
91	0	21245	827	GCA_000015685.1	CP000553.1.region003.gbk
92	0	19875	408	GCA_000015705.1	CP000554.1.region001.gbk
93	0	47338	926	GCA_000015705.1	CP000554.1.region002.gbk
94	0	41095	1389	GCA_000015705.1	CP000554.1.region003.gbk
95	0	23225	81	GCA_000015705.1	CP000554.1.region004.gbk
96	0	20773	316	GCA_000015705.1	CP000554.1.region005.gbk
97	0	20942	897	GCA_000015705.1	CP000554.1.region006.gbk
98	0	20303	416	GCA_000015705.1	CP000554.1.region007.gbk
99	0	19276	897	GCA_000015965.1	CP000576.1.region001.gbk
100	0	20521	456	GCA_000015965.1	CP000576.1.region002.gbk
101	0	21212	826	GCA_000015965.1	CP000576.1.region003.gbk
102	0	42253	494	GCA_000017845.1	CP000806.1.region001.gbk
103	0	19594	40	GCA_000017845.1	CP000806.1.region002.gbk
104	0	152474	1869	GCA_000017845.1	CP000806.1.region003.gbk
105	0	43795	1695	GCA_000017845.1	CP000806.1.region004.gbk
106	0	34315	1013	GCA_000017845.1	CP000806.1.region005.gbk
107	0	21947	644	GCA_000017845.1	CP000806.1.region006.gbk
108	0	19369	897	GCA_000018065.1	CP000825.1.region001.gbk
109	0	20535	456	GCA_000018065.1	CP000825.1.region002.gbk
110	0	21212	826	GCA_000018065.1	CP000825.1.region003.gbk
111	0	10879	266	GCA_000018105.1	CP000828.1.region001.gbk
112	0	41164	1529	GCA_000018105.1	CP000828.1.region002.gbk
113	0	26309	1050	GCA_000018105.1	CP000828.1.region003.gbk
114	0	41131	691	GCA_000018105.1	CP000828.1.region004.gbk
115	0	19134	1122	GCA_000018105.1	CP000828.1.region005.gbk
116	0	19007	1330	GCA_000018105.1	CP000828.1.region006.gbk
117	0	16961	627	GCA_000018105.1	CP000828.1.region007.gbk
118	0	21236	583	GCA_000018105.1	CP000828.1.region008.gbk
119	0	93182	1848	GCA_000018105.1	CP000838.1.region001.gbk
120	1	21962	38	GCA_000018105.1	CP000839.1.region001.gbk
121	0	20013	897	GCA_000018585.1	CP000878.1.region001.gbk
122	0	20804	118	GCA_000018585.1	CP000878.1.region002.gbk
123	0	21197	827	GCA_000018585.1	CP000878.1.region003.gbk
124	0	48163	1565	GCA_000019485.1	CP000951.1.region001.gbk
125	0	20846	319	GCA_000019485.1	CP000951.1.region002.gbk
126	0	43279	1254	GCA_000019485.1	CP000951.1.region003.gbk
127	0	17465	296	GCA_000019485.1	CP000957.1.region001.gbk
128	0	51740	1761	GCA_000020025.1	CP001037.1.region001.gbk
129	0	50119	1569	GCA_000020025.1	CP001037.1.region002.gbk
130	0	59909	1867	GCA_000020025.1	CP001037.1.region003.gbk
131	0	85864	1540	GCA_000020025.1	CP001037.1.region004.gbk
132	0	59927	1341	GCA_000020025.1	CP001037.1.region005.gbk
133	0	41038	757	GCA_000020025.1	CP001037.1.region006.gbk
134	0	36288	655	GCA_000020025.1	CP001037.1.region007.gbk
135	0	41317	684	GCA_000020025.1	CP001037.1.region008.gbk
136	0	16314	46	GCA_000020025.1	CP001037.1.region009.gbk
137	0	96987	1653	GCA_000020025.1	CP001037.1.region010.gbk
138	0	92829	1838	GCA_000020025.1	CP001037.1.region011.gbk
139	0	51008	899	GCA_000020025.1	CP001037.1.region012.gbk
140	0	22190	238	GCA_000020025.1	CP001037.1.region013.gbk
141	0	182827	1880	GCA_000020025.1	CP001037.1.region014.gbk
142	0	19868	125	GCA_000020025.1	CP001037.1.region015.gbk
143	0	23306	67	GCA_000020025.1	CP001037.1.region016.gbk
144	0	39347	1262	GCA_000020025.1	CP001037.1.region017.gbk
145	0	43580	1244	GCA_000020025.1	CP001037.1.region018.gbk
146	0	21917	1143	GCA_000020025.1	CP001037.1.region019.gbk
147	0	42641	1179	GCA_000020025.1	CP001037.1.region020.gbk
148	0	56269	1534	GCA_000020025.1	CP001037.1.region021.gbk
149	0	23336	159	GCA_000020025.1	CP001038.1.region001.gbk
150	1	60995	1498	GCA_000020025.1	CP001040.1.region001.gbk
151	1	7553	4	GCA_000020025.1	CP001042.1.region001.gbk
152	0	19090	119	GCA_000021805.1	CP001287.1.region001.gbk
153	0	19292	25	GCA_000021805.1	CP001287.1.region002.gbk
154	0	56195	1318	GCA_000021805.1	CP001287.1.region003.gbk
155	0	23237	290	GCA_000021805.1	CP001287.1.region004.gbk
156	0	42308	997	GCA_000021805.1	CP001287.1.region005.gbk
157	0	21944	279	GCA_000021805.1	CP001287.1.region006.gbk
158	0	88545	1819	GCA_000021805.1	CP001287.1.region007.gbk
159	0	64713	1095	GCA_000021805.1	CP001287.1.region008.gbk
160	0	42246	1157	GCA_000021825.1	CP001291.1.region001.gbk
161	0	42176	1125	GCA_000021825.1	CP001291.1.region002.gbk
162	0	17686	588	GCA_000021825.1	CP001291.1.region003.gbk
163	0	58915	1612	GCA_000021825.1	CP001291.1.region004.gbk
164	0	45119	1564	GCA_000021825.1	CP001291.1.region005.gbk
165	0	21932	423	GCA_000021825.1	CP001291.1.region006.gbk
166	0	44011	1210	GCA_000021825.1	CP001291.1.region007.gbk
167	0	87952	1551	GCA_000021825.1	CP001292.1.region001.gbk
168	1	53878	1058	GCA_000021825.1	CP001292.1.region002.gbk
169	0	19892	897	GCA_000025125.1	CP001842.1.region001.gbk
170	0	18863	157	GCA_000025125.1	CP001842.1.region002.gbk
171	0	21926	268	GCA_000025125.1	CP001842.1.region003.gbk
172	0	41095	1280	GCA_000063505.1	CT971583.1.region001.gbk
173	0	19547	408	GCA_000063505.1	CT971583.1.region002.gbk
174	0	20942	447	GCA_000063505.1	CT971583.1.region003.gbk
175	0	18734	897	GCA_000063525.1	CT978603.1.region001.gbk
176	0	21260	408	GCA_000063525.1	CT978603.1.region002.gbk
177	0	18536	145	GCA_000147335.1	CP002198.1.region001.gbk
178	0	20951	249	GCA_000147335.1	CP002198.1.region002.gbk
179	0	45345	1524	GCA_000147335.1	CP002198.1.region003.gbk
180	0	22298	1022	GCA_000147335.1	CP002198.1.region004.gbk
181	0	20933	177	GCA_000147335.1	CP002198.1.region005.gbk
182	0	45142	564	GCA_000147335.1	CP002198.1.region006.gbk
183	0	48328	1767	GCA_000147335.1	CP002198.1.region007.gbk
184	0	20807	202	GCA_000147335.1	CP002198.1.region008.gbk
185	0	20228	463	GCA_000147335.1	CP002198.1.region009.gbk
186	0	22384	563	GCA_000147335.1	CP002198.1.region010.gbk
187	0	106656	1849	GCA_000147335.1	CP002199.1.region001.gbk
188	0	54531	1431	GCA_000147335.1	CP002199.1.region002.gbk
189	0	10378	141	GCA_000147335.1	CP002199.1.region003.gbk
190	0	31109	618	GCA_000147335.1	CP002199.1.region004.gbk
191	0	24479	875	GCA_000147335.1	CP002200.1.region001.gbk
192	0	21059	6	GCA_000147335.1	CP002200.1.region002.gbk
193	0	19858	408	GCA_000161795.2	CP006882.1.region001.gbk
194	0	20909	897	GCA_000161795.2	CP006882.1.region002.gbk
195	0	20788	408	GCA_000179235.2	CP039373.1.region001.gbk
196	0	20918	897	GCA_000179235.2	CP039373.1.region002.gbk
197	0	20625	408	GCA_000195975.1	BX548020.1.region001.gbk
198	0	41089	1336	GCA_000195975.1	BX548020.1.region002.gbk
199	0	20909	897	GCA_000195975.1	BX548020.1.region003.gbk
200	0	41045	190	GCA_000196515.1	CP002059.1.region001.gbk
201	0	41155	1446	GCA_000196515.1	CP002059.1.region002.gbk
202	0	42378	803	GCA_000196515.1	CP002059.1.region003.gbk
203	0	49876	869	GCA_000196515.1	CP002059.1.region004.gbk
204	0	20933	312	GCA_000196515.1	CP002059.1.region005.gbk
205	0	51805	1735	GCA_000196515.1	CP002059.1.region006.gbk
206	0	46903	1500	GCA_000196515.1	CP002059.1.region007.gbk
207	0	41110	93	GCA_000196515.1	CP002059.1.region008.gbk
208	0	25850	511	GCA_000196515.1	CP002059.1.region009.gbk
209	0	40540	437	GCA_000204075.1	CP000117.1.region001.gbk
210	0	22024	498	GCA_000204075.1	CP000117.1.region002.gbk
211	0	41200	1377	GCA_000204075.1	CP000117.1.region003.gbk
212	0	69379	1650	GCA_000204075.1	CP000117.1.region004.gbk
213	0	19730	301	GCA_000204075.1	CP000117.1.region005.gbk
214	0	51119	1783	GCA_000204075.1	CP000117.1.region006.gbk
215	0	17752	324	GCA_000204075.1	CP000117.1.region007.gbk
216	0	45098	903	GCA_000204075.1	CP000117.1.region008.gbk
217	0	59116	1661	GCA_000204075.1	CP000117.1.region009.gbk
218	0	70310	1583	GCA_000204075.1	CP000117.1.region010.gbk
219	0	42481	1162	GCA_000204075.1	CP000117.1.region011.gbk
220	0	19407	1124	GCA_000204075.1	CP000117.1.region012.gbk
221	0	66566	1723	GCA_000204075.1	CP000117.1.region013.gbk
222	0	38894	1036	GCA_000204075.1	CP000117.1.region014.gbk
223	0	55635	1665	GCA_000204075.1	CP000117.1.region015.gbk
224	0	23177	360	GCA_000204075.1	CP000119.1.region001.gbk
225	1	46724	1090	GCA_000204075.1	CP000121.1.region001.gbk
226	1	27891	185	GCA_000210375.1	AP011615.1.region001.gbk
227	0	42313	71	GCA_000210375.1	AP011615.1.region002.gbk
228	0	20963	119	GCA_000210375.1	AP011615.1.region003.gbk
229	0	38813	577	GCA_000210375.1	AP011615.1.region004.gbk
230	0	20094	262	GCA_000270265.1	AP012205.1.region001.gbk
231	0	20502	310	GCA_000270265.1	AP012205.1.region002.gbk
232	0	20816	768	GCA_000270265.1	AP012205.1.region003.gbk
233	0	20094	262	GCA_000284135.1	AP012276.1.region001.gbk
234	0	20502	310	GCA_000284135.1	AP012276.1.region002.gbk
235	0	20816	768	GCA_000284135.1	AP012276.1.region003.gbk
236	0	20094	262	GCA_000284215.1	AP012277.1.region001.gbk
237	0	20502	310	GCA_000284215.1	AP012277.1.region002.gbk
238	0	20816	768	GCA_000284215.1	AP012277.1.region003.gbk
239	0	20094	262	GCA_000284455.1	AP012278.1.region001.gbk
240	0	20502	310	GCA_000284455.1	AP012278.1.region002.gbk
241	0	20816	768	GCA_000284455.1	AP012278.1.region003.gbk
242	0	42316	42	GCA_000307915.1	CM001632.1.region001.gbk
243	0	37317	577	GCA_000307915.1	CM001632.1.region002.gbk
244	0	20903	119	GCA_000307915.1	CM001632.1.region003.gbk
245	0	68772	1427	GCA_000309945.1	CM001633.1.region001.gbk
246	0	31239	1293	GCA_000309945.1	CM001633.1.region002.gbk
247	0	20783	661	GCA_000309945.1	CM001633.1.region003.gbk
248	0	20933	556	GCA_000309945.1	CM001633.1.region004.gbk
249	0	21929	550	GCA_000312705.1	CP003284.1.region001.gbk
250	0	45699	1500	GCA_000312705.1	CP003284.1.region002.gbk
251	0	39476	263	GCA_000312705.1	CP003284.1.region003.gbk
252	0	154012	1870	GCA_000312705.1	CP003284.1.region004.gbk
253	0	44201	1007	GCA_000312705.1	CP003284.1.region005.gbk
254	0	65752	1366	GCA_000312705.1	CP003284.1.region006.gbk
255	0	22422	173	GCA_000312705.1	CP003284.1.region007.gbk
256	0	42401	1021	GCA_000312705.1	CP003284.1.region008.gbk
257	0	20822	791	GCA_000312705.1	CP003284.1.region009.gbk
258	0	82179	1522	GCA_000312705.1	CP003284.1.region010.gbk
259	0	20831	127	GCA_000312705.1	CP003284.1.region011.gbk
260	0	52127	1731	GCA_000312705.1	CP003284.1.region012.gbk
261	0	30150	137	GCA_000312705.1	CP003284.1.region013.gbk
262	0	20933	194	GCA_000312705.1	CP003285.1.region001.gbk
263	0	39791	1238	GCA_000316515.1	CP003495.1.region001.gbk
264	0	19980	447	GCA_000316515.1	CP003495.1.region002.gbk
265	0	52800	1193	GCA_000316515.1	CP003495.1.region003.gbk
266	0	20822	200	GCA_000316575.1	CP003943.1.region001.gbk
267	0	40818	1331	GCA_000316575.1	CP003943.1.region002.gbk
268	0	42379	225	GCA_000316575.1	CP003943.1.region003.gbk
269	0	41383	1005	GCA_000316575.1	CP003943.1.region004.gbk
270	0	61751	1742	GCA_000316575.1	CP003943.1.region005.gbk
271	0	19653	9	GCA_000316575.1	CP003943.1.region006.gbk
272	0	20447	479	GCA_000316575.1	CP003943.1.region007.gbk
273	0	20640	527	GCA_000316575.1	CP003943.1.region008.gbk
274	0	29412	1324	GCA_000316575.1	CP003943.1.region009.gbk
275	0	18756	386	GCA_000316575.1	CP003943.1.region010.gbk
276	0	20966	125	GCA_000316575.1	CP003943.1.region011.gbk
277	0	40678	1307	GCA_000316575.1	CP003943.1.region012.gbk
278	0	52509	1776	GCA_000316575.1	CP003943.1.region013.gbk
279	0	44047	592	GCA_000316575.1	CP003943.1.region014.gbk
280	0	48127	1541	GCA_000316605.1	CP003946.1.region001.gbk
281	0	29964	274	GCA_000316605.1	CP003946.1.region002.gbk
282	0	23189	103	GCA_000316605.1	CP003946.1.region003.gbk
283	0	10381	53	GCA_000316605.1	CP003946.1.region004.gbk
284	0	43339	948	GCA_000316605.1	CP003946.1.region005.gbk
285	0	21005	276	GCA_000316605.1	CP003946.1.region006.gbk
286	0	41295	1153	GCA_000316605.1	CP003946.1.region007.gbk
287	0	17492	1479	GCA_000316605.1	CP003946.1.region008.gbk
288	0	20781	211	GCA_000316625.1	CP003548.1.region001.gbk
289	0	40816	578	GCA_000316625.1	CP003548.1.region002.gbk
290	0	51534	1699	GCA_000316625.1	CP003548.1.region003.gbk
291	0	40544	1081	GCA_000316625.1	CP003548.1.region004.gbk
292	0	42570	1010	GCA_000316625.1	CP003548.1.region005.gbk
293	0	19516	1165	GCA_000316625.1	CP003548.1.region006.gbk
294	0	88088	1830	GCA_000316625.1	CP003548.1.region007.gbk
295	0	17997	1146	GCA_000316625.1	CP003548.1.region008.gbk
296	0	17557	769	GCA_000316625.1	CP003548.1.region009.gbk
297	0	22469	514	GCA_000316625.1	CP003548.1.region010.gbk
298	0	22165	66	GCA_000316625.1	CP003548.1.region011.gbk
299	0	20969	125	GCA_000316625.1	CP003548.1.region012.gbk
300	0	44521	1569	GCA_000316645.1	CP003552.1.region001.gbk
301	0	23213	341	GCA_000316645.1	CP003552.1.region002.gbk
302	0	17211	917	GCA_000316645.1	CP003552.1.region003.gbk
303	0	22456	727	GCA_000316645.1	CP003552.1.region004.gbk
304	0	22612	1014	GCA_000316645.1	CP003552.1.region005.gbk
305	0	22293	477	GCA_000316645.1	CP003552.1.region006.gbk
306	0	51527	1690	GCA_000316645.1	CP003552.1.region007.gbk
307	0	18804	818	GCA_000316645.1	CP003552.1.region008.gbk
308	0	21875	369	GCA_000316645.1	CP003552.1.region009.gbk
309	0	46331	1274	GCA_000316645.1	CP003552.1.region010.gbk
310	0	19099	70	GCA_000316645.1	CP003552.1.region011.gbk
311	0	39762	403	GCA_000316645.1	CP003552.1.region012.gbk
312	0	42463	645	GCA_000316645.1	CP003552.1.region013.gbk
313	0	15989	613	GCA_000316645.1	CP003552.1.region014.gbk
314	0	22049	821	GCA_000316645.1	CP003552.1.region015.gbk
315	0	44918	1523	GCA_000316645.1	CP003552.1.region016.gbk
316	0	52798	1782	GCA_000316645.1	CP003552.1.region017.gbk
317	0	41788	772	GCA_000316665.1	CP003549.1.region001.gbk
318	0	43642	409	GCA_000316665.1	CP003549.1.region002.gbk
319	0	42362	501	GCA_000316665.1	CP003549.1.region003.gbk
320	0	17877	55	GCA_000316665.1	CP003549.1.region004.gbk
321	0	21068	620	GCA_000316665.1	CP003549.1.region005.gbk
322	0	53401	1700	GCA_000316665.1	CP003549.1.region006.gbk
323	0	41182	1439	GCA_000316665.1	CP003549.1.region007.gbk
324	0	20336	29	GCA_000316665.1	CP003549.1.region008.gbk
325	0	41236	1151	GCA_000316665.1	CP003549.1.region009.gbk
326	0	20936	532	GCA_000316665.1	CP003549.1.region010.gbk
327	0	17488	735	GCA_000316665.1	CP003549.1.region011.gbk
328	0	20207	541	GCA_000316665.1	CP003549.1.region012.gbk
329	0	23405	210	GCA_000316665.1	CP003549.1.region013.gbk
330	0	27416	901	GCA_000316665.1	CP003549.1.region014.gbk
331	0	81170	1705	GCA_000316665.1	CP003549.1.region015.gbk
332	0	23264	67	GCA_000316665.1	CP003549.1.region016.gbk
333	0	39695	1191	GCA_000316665.1	CP003549.1.region017.gbk
334	0	43264	1435	GCA_000316665.1	CP003549.1.region018.gbk
335	0	20278	195	GCA_000316685.1	CP003558.1.region001.gbk
336	0	20896	700	GCA_000316685.1	CP003558.1.region002.gbk
337	0	20933	1047	GCA_000316685.1	CP003558.1.region003.gbk
338	0	19254	923	GCA_000316685.1	CP003558.1.region004.gbk
339	0	19890	860	GCA_000316685.1	CP003558.1.region005.gbk
340	0	19966	329	GCA_000316685.1	CP003558.1.region006.gbk
341	0	20297	947	GCA_000316685.1	CP003558.1.region007.gbk
342	0	19267	542	GCA_000317025.1	CP003590.1.region001.gbk
343	0	44747	1748	GCA_000317025.1	CP003590.1.region002.gbk
344	0	20295	1267	GCA_000317025.1	CP003590.1.region003.gbk
345	0	21803	767	GCA_000317025.1	CP003590.1.region004.gbk
346	0	25052	618	GCA_000317025.1	CP003590.1.region005.gbk
347	0	46660	1579	GCA_000317025.1	CP003590.1.region006.gbk
348	0	21941	793	GCA_000317025.1	CP003590.1.region007.gbk
349	0	46158	1630	GCA_000317025.1	CP003590.1.region008.gbk
350	0	40009	1496	GCA_000317025.1	CP003590.1.region009.gbk
351	0	48529	1533	GCA_000317025.1	CP003590.1.region010.gbk
352	0	41137	1485	GCA_000317045.1	CP003591.1.region001.gbk
353	0	19178	254	GCA_000317045.1	CP003591.1.region002.gbk
354	0	16892	872	GCA_000317045.1	CP003591.1.region003.gbk
355	0	21233	121	GCA_000317045.1	CP003591.1.region004.gbk
356	0	41878	454	GCA_000317065.1	CP003592.1.region001.gbk
357	0	20888	281	GCA_000317065.1	CP003592.1.region002.gbk
358	0	14682	255	GCA_000317085.1	CP003594.1.region001.gbk
359	0	18747	870	GCA_000317085.1	CP003594.1.region002.gbk
360	0	54166	1373	GCA_000317085.1	CP003594.1.region003.gbk
361	0	43009	1216	GCA_000317085.1	CP003594.1.region004.gbk
362	0	41137	1637	GCA_000317085.1	CP003594.1.region005.gbk
363	0	21992	787	GCA_000317085.1	CP003594.1.region006.gbk
364	0	52338	1072	GCA_000317105.1	CP003607.1.region001.gbk
365	0	44162	1722	GCA_000317105.1	CP003607.1.region002.gbk
366	0	20927	287	GCA_000317105.1	CP003607.1.region003.gbk
367	0	23246	20	GCA_000317105.1	CP003607.1.region004.gbk
368	0	40870	589	GCA_000317105.1	CP003607.1.region005.gbk
369	0	77690	1762	GCA_000317105.1	CP003607.1.region006.gbk
370	0	22256	560	GCA_000317105.1	CP003607.1.region007.gbk
371	0	24524	1260	GCA_000317105.1	CP003607.1.region008.gbk
372	1	34978	739	GCA_000317105.1	CP003608.1.region001.gbk
373	0	51818	1367	GCA_000317125.1	CP003597.1.region001.gbk
374	0	20936	652	GCA_000317125.1	CP003597.1.region002.gbk
375	0	43539	1420	GCA_000317125.1	CP003597.1.region003.gbk
376	0	42868	1053	GCA_000317125.1	CP003597.1.region004.gbk
377	0	47439	1462	GCA_000317125.1	CP003597.1.region005.gbk
378	0	42925	1286	GCA_000317125.1	CP003597.1.region006.gbk
379	0	20714	777	GCA_000317125.1	CP003597.1.region007.gbk
380	0	21443	1003	GCA_000317125.1	CP003597.1.region008.gbk
381	0	53028	1057	GCA_000317125.1	CP003597.1.region009.gbk
382	0	42356	169	GCA_000317125.1	CP003597.1.region010.gbk
383	0	74544	1817	GCA_000317125.1	CP003597.1.region011.gbk
384	0	87464	1709	GCA_000317125.1	CP003597.1.region012.gbk
385	0	42389	801	GCA_000317145.1	CP003600.1.region001.gbk
386	0	17275	596	GCA_000317145.1	CP003600.1.region002.gbk
387	0	78607	1795	GCA_000317145.1	CP003600.1.region003.gbk
388	0	21412	961	GCA_000317145.1	CP003600.1.region004.gbk
389	0	35380	420	GCA_000317145.1	CP003600.1.region005.gbk
390	0	27895	359	GCA_000317145.1	CP003600.1.region006.gbk
391	0	41149	846	GCA_000317145.1	CP003600.1.region007.gbk
392	0	60931	1625	GCA_000317145.1	CP003600.1.region008.gbk
393	0	52235	1698	GCA_000317145.1	CP003600.1.region009.gbk
394	0	50686	1235	GCA_000317145.1	CP003600.1.region010.gbk
395	0	21059	1185	GCA_000317145.1	CP003600.1.region011.gbk
396	0	22880	568	GCA_000317435.1	CP003610.1.region001.gbk
397	0	75164	1801	GCA_000317435.1	CP003610.1.region002.gbk
398	0	43406	955	GCA_000317435.1	CP003610.1.region003.gbk
399	0	20306	233	GCA_000317435.1	CP003610.1.region004.gbk
400	0	41770	770	GCA_000317435.1	CP003610.1.region005.gbk
401	0	21911	425	GCA_000317435.1	CP003610.1.region006.gbk
402	0	40328	144	GCA_000317435.1	CP003610.1.region007.gbk
403	0	85468	1675	GCA_000317435.1	CP003610.1.region008.gbk
404	0	22995	958	GCA_000317435.1	CP003610.1.region009.gbk
405	0	20255	579	GCA_000317435.1	CP003610.1.region010.gbk
406	0	42434	892	GCA_000317435.1	CP003610.1.region011.gbk
407	0	41122	1448	GCA_000317435.1	CP003610.1.region012.gbk
408	1	20933	284	GCA_000317435.1	CP003610.1.region013.gbk
409	1	27036	755	GCA_000317435.1	CP003611.1.region001.gbk
410	0	43718	1291	GCA_000317475.1	CP003614.1.region001.gbk
411	0	52092	1556	GCA_000317475.1	CP003614.1.region002.gbk
412	0	32970	1141	GCA_000317475.1	CP003614.1.region003.gbk
413	0	43733	848	GCA_000317475.1	CP003614.1.region004.gbk
414	0	75475	1171	GCA_000317475.1	CP003614.1.region005.gbk
415	0	20930	165	GCA_000317475.1	CP003614.1.region006.gbk
416	0	76253	1335	GCA_000317495.1	CP003620.1.region001.gbk
