Assembly Accession	Assembly Level	Organism Taxonomic ID
GCF_002367955.1	Chromosome	272123
GCA_000317695.1	Complete Genome	272123
GCA_002367955.1	Chromosome	272123
GCF_034931625.1	Scaffold	3110296
GCA_034931625.1	Scaffold	3110296
GCF_014698305.1	Contig	2692881
GCA_014698305.1	Contig	2692881
GCF_014697125.1	Contig	2692882
GCA_014697125.1	Contig	2692882
GCA_963890265.1	Contig	2692882
GCF_001597745.1	Scaffold	1811979
GCF_963870035.1	Scaffold	1811979
GCA_001597745.1	Scaffold	1811979
GCA_963870035.1	Scaffold	1811979
GCA_021300315.1	Scaffold	2904988
GCA_021300225.1	Scaffold	2904987
GCF_017355725.1	Contig	46231
GCA_017355725.1	Contig	46231
GCA_900299285.1	Contig	46231
GCF_000312705.1	Complete Genome	46234
GCA_000312705.1	Complete Genome	46234
GCF_001672255.1	Scaffold	1710891
GCA_001672255.1	Scaffold	1710891
GCF_001672085.1	Contig	1678133
GCA_001672085.1	Contig	1678133
GCF_001597855.1	Scaffold	52271
GCF_963870205.1	Scaffold	52271
GCA_001597855.1	Scaffold	52271
GCA_963870205.1	Scaffold	52271
GCF_963920885.1	Contig	3103866
GCA_963920885.1	Contig	3103866
GCF_963920945.1	Contig	3103867
GCA_963920945.1	Contig	3103867
GCF_963920895.1	Contig	3103868
GCA_963920895.1	Contig	3103868
GCF_963920905.1	Contig	3103869
GCA_963920905.1	Contig	3103869
GCF_963920875.1	Contig	3103870
GCA_963920875.1	Contig	3103870
GCA_021297915.1	Contig	2904991
GCA_001672075.1	Contig	1710888
GCF_028331085.1	Contig	3021719
GCA_028331085.1	Contig	3021719
GCF_014696225.1	Contig	2692769
GCA_014696225.1	Contig	2692769
GCF_014696335.1	Contig	2692770
GCA_014696335.1	Contig	2692770
GCF_014696755.1	Contig	2692771
GCA_014696755.1	Contig	2692771
GCF_014696765.1	Contig	1086822
GCA_014696765.1	Contig	1086822
GCF_014697485.1	Contig	2692772
GCA_014697485.1	Contig	2692772
GCA_001672225.1	Scaffold	1710892
GCA_001672195.1	Contig	1710886
GCF_000332135.1	Scaffold	163908
GCA_000332135.1	Scaffold	163908
GCF_019800585.1	Scaffold	1296340
GCF_019800605.1	Scaffold	1296340
GCF_023701635.1	Contig	1296340
GCA_019800585.1	Scaffold	1296340
GCA_019800605.1	Scaffold	1296340
GCA_023701635.1	Contig	1296340
GCA_003525565.1	Scaffold	2055756
GCF_009712035.1	Scaffold	2590018
GCA_009712035.1	Scaffold	2590018
GCF_009711975.1	Scaffold	2590009
GCA_009711975.1	Scaffold	2590009
GCF_009712085.1	Scaffold	2590019
GCA_009712085.1	Scaffold	2590019
GCF_034931465.1	Scaffold	3110238
GCA_034931465.1	Scaffold	3110238
GCF_034931405.1	Scaffold	2055235
GCA_034931405.1	Scaffold	2055235
GCF_001277295.1	Complete Genome	1647413
GCA_001277295.1	Complete Genome	1647413
GCA_001672155.1	Contig	1710889
GCF_009498015.1	Complete Genome	2490939
GCA_009498015.1	Complete Genome	2490939
GCF_014696825.1	Contig	2692883
GCA_014696825.1	Contig	2692883
GCF_014697105.1	Contig	2692884
GCA_014697105.1	Contig	2692884
GCF_028331025.1	Contig	2152938
GCF_029891855.1	Contig	2152938
GCA_028331025.1	Contig	2152938
GCA_029891855.1	Contig	2152938
GCF_002367975.1	Chromosome	1085406
GCA_002367975.1	Chromosome	1085406
GCF_015245355.1	Chromosome	2779889
GCA_015245355.1	Chromosome	2779889
GCF_029891665.1	Contig	2971766
GCA_029891665.1	Contig	2971766
GCF_029891675.1	Contig	2785304
GCA_029891675.1	Contig	2785304
GCF_025370775.1	Scaffold	2953691
GCA_025370775.1	Scaffold	2953691
GCF_018389385.1	Complete Genome	2778476
GCA_018389385.1	Complete Genome	2778476
GCF_000789435.1	Contig	1532906
GCA_000789435.1	Contig	1532906
GCA_014654815.1	Scaffold	2766972
GCA_017355665.1	Contig	2717881
GCA_017346855.1	Complete Genome	2717882
GCF_014696815.1	Contig	2692887
GCA_014696815.1	Contig	2692887
GCF_014697315.1	Contig	2692888
GCA_014697315.1	Contig	2692888
GCF_014698725.1	Contig	2692889
GCA_014698725.1	Contig	2692889
GCF_014698705.1	Contig	2692890
GCA_014698705.1	Contig	2692890
GCF_014698755.1	Contig	2692891
GCA_014698755.1	Contig	2692891
GCF_014698295.1	Contig	1680357
GCA_014698295.1	Contig	1680357
GCF_014698695.1	Contig	1680361
GCA_014698695.1	Contig	1680361
GCA_017346875.1	Complete Genome	2723857
GCA_001672165.1	Contig	1710894
GCA_001672095.1	Contig	1710895
GCF_000521175.1	Scaffold	284502
GCA_000521175.1	Scaffold	284502
GCF_031822415.1	Contig	1980621
GCA_031822415.1	Contig	1980621
GCA_001593825.2	Contig	1803587
GCA_001672105.1	Contig	1710896
GCA_030336445.1	Contig	948678
GCA_030336425.1	Contig	948687
GCA_030336385.1	Contig	3025481
GCA_030336405.1	Contig	948691
GCA_046299875.1	Contig	3100247
GCA_046300075.1	Contig	3100247
GCA_046301355.1	Contig	3100247
GCA_046302475.1	Contig	3100247
GCA_046304375.1	Contig	3100247
GCA_046306375.1	Contig	3100247
GCA_046306475.1	Contig	3100247
GCA_046307675.1	Contig	3100247
GCA_046309295.1	Contig	3100247
GCA_046309615.1	Contig	3100247
GCA_046309715.1	Contig	3100247
GCA_046312755.1	Contig	3100247
GCA_046316295.1	Contig	3100247
GCA_046335945.1	Contig	3100247
GCA_046343275.1	Contig	3100247
GCA_046343675.1	Contig	3100247
GCA_046343915.1	Contig	3100247
GCA_030130145.1	Scaffold	88823
GCF_028330045.1	Contig	3021715
GCA_028330045.1	Contig	3021715
GCF_014698245.1	Contig	2692773
GCA_014698245.1	Contig	2692773
GCF_014698265.1	Contig	2692774
GCA_014698265.1	Contig	2692774
GCF_030130105.1	Scaffold	2027336
GCA_030130105.1	Scaffold	2027336
GCF_009712065.1	Scaffold	2590028
GCA_009712065.1	Scaffold	2590028
GCA_947487945.1	Contig	2795482
GCA_004768385.2	Scaffold	2507554
GCA_004768415.1	Scaffold	2507553
GCA_004768435.1	Scaffold	2507555
GCA_019359725.1	Contig	2839658
GCA_019359715.1	Contig	2835086
GCF_003003925.1	Contig	2107695
GCA_003003925.1	Contig	2107695
GCA_943369625.1	Contig	2107695
GCA_943372855.1	Contig	2107695
GCF_003007785.1	Contig	2107694
GCA_003007785.1	Contig	2107694
GCF_046613545.1	Contig	3390204
GCA_046613545.1	Contig	3390204
GCF_003864295.1	Contig	1920663
GCA_003864295.1	Contig	1920663
GCF_003864315.1	Contig	1920664
GCA_003864315.1	Contig	1920664
GCA_019359745.1	Contig	2835092
GCA_040373885.1	Contig	44157
GCA_040374905.1	Contig	44157
GCA_040375355.1	Contig	44157
GCA_040375465.1	Contig	44157
GCA_040375715.1	Contig	44157
GCA_040378925.1	Contig	44157
GCA_040380955.1	Contig	44157
GCA_040381155.1	Contig	44157
GCA_040381335.1	Contig	44157
GCA_040381675.1	Contig	44157
GCA_019359765.1	Contig	2839655
GCF_046764815.1	Contig	3390205
GCA_046764815.1	Contig	3390205
GCF_023333585.1	Scaffold	2875782
GCF_963898615.1	Scaffold	2875782
GCA_023333585.1	Scaffold	2875782
GCA_963898615.1	Scaffold	2875782
GCF_023333595.1	Scaffold	2875781
GCA_023333595.1	Scaffold	2875781
GCF_040505605.1	Contig	118562
GCA_040505605.1	Contig	118562
GCA_042083005.1	Complete Genome	3234866
GCF_000307915.1	Chromosome	459495
GCF_025200965.1	Complete Genome	459495
GCA_000307915.1	Chromosome	459495
GCA_025200965.1	Complete Genome	459495
GCA_037023215.1	Chromosome	2952678
GCF_014698675.1	Contig	213765
GCA_014698675.1	Contig	213765
GCF_014698815.1	Contig	2692892
GCA_014698815.1	Contig	2692892
GCF_014698385.1	Contig	2692893
GCA_014698385.1	Contig	2692893
GCA_029223075.1	Contig	2909674
GCF_000210375.1	Chromosome	696747
GCA_000210375.1	Chromosome	696747
GCA_026000695.2	Complete Genome	696747
GCF_009176225.1	Contig	1236695
GCA_009176225.1	Contig	1236695
GCF_046480435.1	Scaffold	129975
GCA_032349095.1	Contig	129975
GCA_046480435.1	Scaffold	129975
GCA_033101815.1	Scaffold	3080829
GCA_037027005.1	Scaffold	3122438
GCF_000175415.3	Contig	634502
GCA_000175415.3	Contig	634502
GCF_001611905.1	Chromosome	1738638
GCA_001611905.1	Chromosome	1738638
GCF_003268325.1	Contig	1982223
GCA_003268325.1	Contig	1982223
GCF_046480465.1	Contig	1982224
GCA_046480465.1	Contig	1982224
GCA_016745315.2	Complete Genome	147317
GCF_007732545.1	Contig	2599626
GCA_007732545.1	Contig	2599626
GCF_018224285.1	Contig	2828282
GCA_018224285.1	Contig	2828282
GCF_000974245.1	Contig	1640536
GCA_000974245.1	Contig	1640536
GCF_003060805.1	Complete Genome	2153484
GCA_003060805.1	Complete Genome	2153484
GCF_016056295.1	Scaffold	1725252
GCA_016056295.1	Scaffold	1725252
GCF_002368055.1	Chromosome	1541988
GCA_002368055.1	Chromosome	1541988
GCA_034530935.1	Scaffold	3075395
GCA_034530695.1	Contig	3075403
GCF_014696595.1	Contig	2692776
GCA_014696595.1	Contig	2692776
GCF_014698045.1	Contig	2692777
GCA_014698045.1	Contig	2692777
GCA_034530575.1	Scaffold	3075410
GCA_034530615.2	Contig	3075411
GCF_000332355.1	Scaffold	102127
GCA_000332355.1	Scaffold	102127
GCA_019359695.1	Contig	1049008
GCF_012912135.1	Scaffold	385972
GCF_963887565.1	Scaffold	385972
GCA_012912135.1	Scaffold	385972
GCA_963887565.1	Scaffold	385972
GCF_019359625.1	Contig	1049025
GCA_019359625.1	Contig	1049025
GCF_006968915.1	Chromosome	417106
GCA_006968915.1	Chromosome	417106
GCF_012912125.1	Scaffold	417115
GCA_012912125.1	Scaffold	417115
GCA_963888615.1	Scaffold	417115
GCF_006968745.1	Chromosome	415709
GCF_963885405.1	Scaffold	415709
GCA_006968745.1	Chromosome	415709
GCA_963885405.1	Scaffold	415709
GCF_017982655.1	Scaffold	2748322
GCA_017982655.1	Scaffold	2748322
GCF_012912105.1	Scaffold	2234130
GCF_963888085.1	Scaffold	2234130
GCA_012912105.1	Scaffold	2234130
GCA_963888085.1	Scaffold	2234130
GCF_002289455.1	Scaffold	987040
GCA_002289455.1	Scaffold	987040
GCA_010672185.1	Scaffold	2607806
GCF_014696435.1	Contig	2692894
GCF_963889165.1	Contig	2692894
GCA_014696435.1	Contig	2692894
GCA_963889165.1	Contig	2692894
GCF_002367995.1	Chromosome	1973478
GCA_002367995.1	Chromosome	1973478
GCF_014696315.1	Contig	2692895
GCA_014696315.1	Contig	2692895
GCA_963889185.1	Contig	2692895
GCF_002368095.1	Chromosome	1973488
GCA_002368095.1	Chromosome	1973488
GCF_014696555.1	Contig	2692896
GCF_963889235.1	Contig	2692896
GCA_014696555.1	Contig	2692896
GCA_963889235.1	Contig	2692896
GCF_900185595.1	Contig	439482
GCF_963901465.1	Contig	439482
GCA_900185595.1	Contig	439482
GCA_963901465.1	Contig	439482
GCF_000734895.2	Complete Genome	1337936
GCF_963865355.1	Contig	1337936
GCA_000734895.2	Complete Genome	1337936
GCA_963865355.1	Contig	1337936
GCA_015272395.1	Contig	2774333
GCF_963920925.1	Contig	3103864
GCA_963920925.1	Contig	3103864
GCA_963920865.1	Contig	1056127
GCA_012034595.1	Contig	2720413
GCA_031976215.1	Scaffold	2995227
GCF_014696565.1	Contig	2692778
GCF_963890025.1	Contig	2692778
GCA_014696565.1	Contig	2692778
GCA_963890025.1	Contig	2692778
GCF_014697055.1	Contig	2692779
GCA_014697055.1	Contig	2692779
GCA_963890245.1	Contig	2692779
GCF_014696495.1	Contig	2692780
GCF_963889195.1	Contig	2692780
GCA_014696495.1	Contig	2692780
GCA_963889195.1	Contig	2692780
GCA_019359675.1	Contig	2839656
GCF_001904745.1	Scaffold	1137096
GCA_001904745.1	Scaffold	1137096
GCA_030066045.1	Contig	3036781
GCA_030065255.1	Contig	3036782
GCA_030065055.1	Contig	3036784
GCF_002368175.1	Complete Genome	1954171
GCF_963875125.1	Contig	1954171
GCA_002368175.1	Complete Genome	1954171
GCA_963875125.1	Contig	1954171
GCF_002368195.1	Chromosome	1954172
GCF_963875285.1	Scaffold	1954172
GCA_002368195.1	Chromosome	1954172
GCA_963875285.1	Scaffold	1954172
GCF_002368395.1	Complete Genome	2005462
GCA_002368395.1	Complete Genome	2005462
GCF_002368455.1	Complete Genome	2005469
GCA_002368455.1	Complete Genome	2005469
GCA_004296455.1	Complete Genome	2005461
GCF_002368415.1	Chromosome	2005463
GCA_002368415.1	Chromosome	2005463
GCA_031379725.1	Contig	2964688
GCF_000317435.1	Complete Genome	1170562
GCF_963861065.1	Contig	1170562
GCA_000317435.1	Complete Genome	1170562
GCA_963861065.1	Contig	1170562
GCF_000331305.1	Scaffold	32057
GCA_000331305.1	Scaffold	32057
GCF_000316575.1	Complete Genome	99598
GCA_000316575.1	Complete Genome	99598
GCF_019977735.1	Complete Genome	2853227
GCA_019977735.1	Complete Genome	2853227
GCA_012031375.1	Contig	2720460
GCA_012031285.1	Contig	2720462
GCF_034931845.1	Scaffold	3110245
GCA_034931845.1	Scaffold	3110245
GCA_022450625.1	Scaffold	2916563
GCA_913046295.1	Contig	713887
GCA_964002575.1	Contig	713887
GCA_964012855.1	Contig	713887
GCF_000025125.1	Complete Genome	1453429
GCA_000025125.1	Complete Genome	1453429
GCF_000737945.1	Contig	1527444
GCA_000737945.1	Contig	1527444
GCA_002380595.1	Scaffold	2028569
GCF_013285545.1	Contig	2714958
GCF_013285555.1	Contig	2714958
GCA_013285545.1	Contig	2714958
GCA_013285555.1	Contig	2714958
GCA_018141785.1	Complete Genome	2829509
GCA_025194985.1	Contig	2976772
GCF_025195015.1	Contig	2976773
GCA_025195015.1	Contig	2976773
GCA_949127895.1	Contig	3062019
GCA_949127685.1	Contig	3062020
GCF_029582805.1	Contig	1497997
GCA_029582805.1	Contig	1497997
GCF_900047545.1	Contig	431041
GCA_900047545.1	Contig	431041
GCA_001007625.1	Scaffold	1608213
GCF_001007635.1	Scaffold	1608419
GCA_001007635.1	Scaffold	1608419
GCA_002017915.1	Scaffold	1449121
GCA_002017955.1	Scaffold	1449122
GCA_002018045.1	Scaffold	1943582
GCF_002018015.1	Scaffold	1943583
GCA_002018015.1	Scaffold	1943583
GCF_000586015.1	Contig	1451353
GCA_000586015.1	Contig	1451353
GCF_001007665.1	Contig	1604020
GCA_001007665.1	Contig	1604020
GCF_047276495.1	Complete Genome	1972598
GCA_047276495.1	Complete Genome	1972598
GCF_015207105.1	Contig	1828680
GCA_015207105.1	Contig	1828680
GCF_000317145.1	Chromosome	1173020
GCA_000317145.1	Chromosome	1173020
GCF_003003845.1	Contig	2107692
GCA_003003845.1	Contig	2107692
GCF_041737865.1	Contig	2814140
GCF_041738855.1	Contig	2814140
GCA_020059425.1	Contig	2814140
GCA_026785875.1	Contig	2814140
GCA_026786125.1	Contig	2814140
GCA_041737865.1	Contig	2814140
GCA_041738715.1	Contig	2814140
GCA_041738855.1	Contig	2814140
GCA_043717665.1	Contig	2814140
GCA_043725955.1	Contig	2814140
GCA_043732325.1	Contig	2814140
GCA_043738175.1	Contig	2814140
GCA_043738255.1	Contig	2814140
GCA_043742545.1	Contig	2814140
GCA_043743615.1	Contig	2814140
GCA_043744515.1	Contig	2814140
GCA_043748825.1	Contig	2814140
GCA_043768205.1	Contig	2814140
GCA_025359915.1	Contig	2970808
GCA_025356495.1	Contig	2970809
GCA_025351825.1	Contig	2970810
GCA_012034725.1	Contig	2720409
GCA_025358725.1	Contig	2970811
GCF_025361915.1	Contig	2970812
GCA_025361915.1	Contig	2970812
GCF_031364565.1	Contig	2964689
GCA_031364565.1	Contig	2964689
GCA_031361775.1	Contig	2964690
GCA_031376885.1	Contig	2964691
GCF_031378165.1	Contig	2964692
GCA_031378165.1	Contig	2964692
GCA_031387965.1	Contig	2964693
GCA_031387665.1	Contig	2964694
GCA_031385105.1	Contig	2964695
GCF_031382685.1	Contig	2964696
GCA_031382685.1	Contig	2964696
GCA_031412395.1	Contig	2964697
GCA_031410795.1	Contig	2964698
GCF_031418915.1	Contig	2964699
GCA_031418915.1	Contig	2964699
GCF_031422475.1	Contig	2964700
GCA_031422475.1	Contig	2964700
GCA_031422115.1	Contig	2964701
GCA_031421875.1	Contig	2964702
GCA_031425415.1	Contig	2964703
GCF_031423935.1	Contig	2964704
GCA_031423935.1	Contig	2964704
GCA_031428935.1	Contig	2964705
GCA_031428055.1	Contig	2964706
GCA_016903695.1	Contig	1521637
GCF_003003885.1	Scaffold	2107693
GCF_963877105.1	Scaffold	2107693
GCA_003003885.1	Scaffold	2107693
GCA_963877105.1	Scaffold	2107693
GCF_015272425.1	Contig	2774336
GCA_015272425.1	Contig	2774336
GCF_000317285.1	Contig	211165
GCF_003990575.1	Scaffold	211165
GCF_043099315.1	Complete Genome	211165
GCA_000317285.1	Contig	211165
GCA_003990575.1	Scaffold	211165
GCA_043099315.1	Complete Genome	211165
GCF_000317265.1	Contig	184925
GCF_043099305.1	Complete Genome	184925
GCA_000317265.1	Contig	184925
GCA_043099305.1	Complete Genome	184925
GCF_030381805.1	Contig	3056483
GCA_030381805.1	Contig	3056483
GCF_038404745.2	Contig	3107926
GCA_038404745.2	Contig	3107926
GCF_002368355.1	Complete Genome	2005460
GCA_002368355.1	Complete Genome	2005460
GCA_036703075.1	Contig	3088180
GCA_036703155.1	Contig	3088180
GCA_036703215.1	Contig	3088180
GCA_038246095.1	Contig	3088180
GCA_038247275.1	Contig	3088180
GCA_038249935.1	Contig	3088180
GCA_038256055.1	Contig	3088180
GCA_038259125.1	Contig	3088180
GCA_038259325.1	Contig	3088180
GCA_038259655.1	Contig	3088180
GCA_038260455.1	Contig	3088180
GCA_003818365.1	Contig	2485785
GCA_949127765.1	Contig	3063722
GCA_949127655.1	Contig	3063723
GCA_041748755.1	Contig	3107304
GCA_019244235.1	Contig	2801879
GCA_019242465.1	Contig	2801880
GCA_030446505.1	Scaffold	3050457
GCA_015206905.1	Contig	1828829
GCF_003003835.1	Scaffold	2107689
GCA_003003835.1	Scaffold	2107689
GCF_003991895.1	Scaffold	388085
GCF_034438355.1	Scaffold	388085
GCA_003991895.1	Scaffold	388085
GCA_034438355.1	Scaffold	388085
GCA_036703515.1	Contig	3088168
GCF_014696895.1	Contig	2692781
GCA_014696895.1	Contig	2692781
GCF_003015105.1	Contig	869949
GCA_003015105.1	Contig	869949
GCF_023558375.1	Chromosome	155894
GCA_023558375.1	Chromosome	155894
GCF_023546805.1	Complete Genome	2653189
GCA_023546805.1	Complete Genome	2653189
GCA_036780185.1	Scaffold	2969637
GCA_029287295.1	Contig	3020857
GCF_032860985.1	Contig	171389
GCA_032860985.1	Contig	171389
GCF_002939305.1	Contig	1378066
GCF_963877035.1	Contig	1378066
GCA_002939305.1	Contig	1378066
GCA_963877035.1	Contig	1378066
GCF_000317125.1	Complete Genome	251229
GCA_000317125.1	Complete Genome	251229
GCA_032860995.1	Contig	1521635
GCA_019359635.1	Contig	2499659
GCF_017312365.1	Contig	1974212
GCA_017312365.1	Contig	1974212
GCF_001904655.1	Contig	247279
GCF_963872015.1	Contig	247279
GCA_001904655.1	Contig	247279
GCA_963872015.1	Contig	247279
GCF_029891735.1	Contig	617107
GCA_029891735.1	Contig	617107
GCA_036703255.1	Contig	3081323
GCA_036703275.1	Contig	3081323
GCA_036703295.1	Contig	3081323
GCA_036703315.1	Contig	3081323
GCA_036703325.1	Contig	3081323
GCA_036703455.1	Contig	3081323
GCA_036703475.1	Contig	3081323
GCA_036703495.1	Contig	3081323
GCA_036704195.1	Contig	3081323
GCA_036704215.1	Contig	3081323
GCA_037916275.1	Contig	3081323
GCA_039936035.1	Contig	3081323
GCA_043737115.1	Contig	3081323
GCA_037445115.1	Scaffold	2967329
GCA_031970155.1	Scaffold	2953768
GCA_031970115.1	Scaffold	2953769
GCA_031970015.1	Scaffold	2953770
GCA_031969975.1	Scaffold	2953771
GCA_031969775.1	Scaffold	2953772
GCA_031969575.1	Scaffold	2953773
GCA_031969515.1	Scaffold	2953774
GCA_031969435.1	Scaffold	2953775
GCA_031969415.1	Scaffold	2953776
GCA_031969375.1	Scaffold	2953777
GCA_031969265.1	Scaffold	2953778
GCA_031976635.1	Scaffold	2953779
GCA_031976595.1	Scaffold	2953780
GCA_031976315.1	Scaffold	2953781
GCA_031976275.1	Scaffold	2953782
GCA_031976155.1	Scaffold	2953783
GCA_031373775.1	Contig	2964581
GCA_031374985.1	Contig	2964582
GCA_031374375.1	Contig	2964583
GCA_012033105.1	Contig	2720419
GCA_012031635.1	Contig	2720464
GCA_012030755.1	Contig	2720472
GCA_040223775.1	Contig	3069537
GCA_040222015.1	Contig	3069538
GCA_040222495.1	Contig	3069539
GCF_000155555.1	Scaffold	118168
GCA_000155555.1	Scaffold	118168
GCA_046538975.1	Contig	3100458
GCA_046539235.1	Contig	3100458
GCA_046541595.1	Contig	3100458
GCA_046543125.1	Contig	3100458
GCA_046565525.1	Contig	3100458
GCA_040217205.1	Contig	3070819
GCA_040220235.1	Contig	3068484
GCA_040220555.1	Contig	3069522
GCA_040220735.1	Contig	3069523
GCA_014534505.1	Contig	2768885
GCA_014534335.1	Contig	2768886
GCA_040218875.1	Contig	3068482
GCA_040218245.1	Contig	3068481
GCA_040221695.1	Contig	3069524
GCA_040222985.1	Contig	3069525
GCF_014698845.1	Contig	2692783
GCA_014698845.1	Contig	2692783
GCF_014695485.1	Contig	2692784
GCF_963889155.1	Contig	2692784
GCA_014695485.1	Contig	2692784
GCA_963889155.1	Contig	2692784
GCF_014695435.1	Contig	2692785
GCA_014695435.1	Contig	2692785
GCF_014695285.1	Contig	2692786
GCA_014695285.1	Contig	2692786
GCF_014695825.1	Contig	2692787
GCA_014695825.1	Contig	2692787
GCF_014695685.1	Contig	2692788
GCA_014695685.1	Contig	2692788
GCF_014695635.1	Contig	2692789
GCA_014695635.1	Contig	2692789
GCF_014698185.1	Contig	2692790
GCA_014698185.1	Contig	2692790
GCF_014695475.1	Contig	2692791
GCF_963889175.1	Contig	2692791
GCA_014695475.1	Contig	2692791
GCA_963889175.1	Contig	2692791
GCF_014695375.1	Contig	2692792
GCA_014695375.1	Contig	2692792
GCA_040219735.1	Contig	3068483
GCA_040226375.1	Contig	3069529
GCA_040223135.1	Contig	3069528
GCF_042747725.1	Scaffold	3351545
GCA_042747725.1	Scaffold	3351545
GCF_015207445.1	Contig	2777967
GCA_015207445.1	Contig	2777967
GCF_015207375.1	Contig	2777969
GCA_015207375.1	Contig	2777969
GCA_020216575.1	Contig	2876727
GCF_000317495.1	Complete Genome	1173022
GCA_000317495.1	Complete Genome	1173022
GCA_036703095.1	Contig	3088173
GCA_036703115.1	Contig	3088173
GCF_000169335.1	Contig	391612
GCA_000169335.1	Contig	391612
GCF_013215395.1	Scaffold	2729996
GCF_022448125.1	Scaffold	2729996
GCF_030064895.1	Contig	2729996
GCA_013215395.1	Scaffold	2729996
GCA_022448125.1	Scaffold	2729996
GCA_030064895.1	Contig	2729996
GCA_030064935.1	Contig	2729996
GCA_030064955.1	Contig	2729996
GCA_030065205.1	Contig	2729996
GCA_030065735.1	Contig	2729996
GCA_030066295.1	Contig	2729996
GCF_038442745.1	Scaffold	3038952
GCA_038442745.1	Scaffold	3038952
GCF_034932065.1	Scaffold	3110246
GCA_034932065.1	Scaffold	3110246
GCF_034931425.1	Scaffold	3110247
GCA_034931425.1	Scaffold	3110247
GCF_000017845.1	Complete Genome	43989
