"proto_gene_id"	"bgc_id"	"proto_length"	"contig_name"	"proto_start_nt"	"proto_end_nt"	"bgc_annotation_id"	"proto_class"	"proto_category"
482006782	2500981	44740	NZ_JAQMTO010000022.1	135643	180382	11922598	nrps-like	nrps
482007144	2500981	21911	NZ_JAQMTO010000022.1	177199	199109	11922598	terpene	terpene
482015057	2501061	5994	NZ_JAQMSR010000436.1	1	5994	11922958	nrps	nrps
482085658	2501479	22070	NZ_JAQMTD010000261.1	15345	37414	11924943	terpene	terpene
482165098	2502001	30589	NZ_JAQMUD010000317.1	1	30589	11927456	nrps-like	nrps
1945870718	12039351	19072	JADBTL010000232.1	1	19072	56543390	nrps	nrps
492339047	2554171	20939	CH724160.1	56050	76988	12176441	terpene	terpene
492339357	2554175	41098	CH724160.1	668553	709650	12176459	t3pks	pks
492561671	2555504	44332	DS989842.1	59765	104096	12182609	nrps	nrps
492574409	2555569	23291	DS989847.1	214829	238119	12182912	lanthipeptide-class-ii	ripp
494414960	2566469	43180	HE973725.1	66769	109948	12232678	t1pks	pks
494414967	2566469	20933	HE973725.1	70820	91752	12232678	terpene	terpene
494427791	2566531	40830	HE972943.1	1	40830	12232978	nrps	nrps
494427807	2566531	44287	HE972943.1	2277	46563	12232978	nrps-like	nrps
498790274	2591916	12689	AVFT01000120.1	1	12689	12344440	cyanobactin	ripp
513609688	2664964	17744	JTCM02000019.1	1	17744	12682594	terpene	terpene
525629877	2733672	20306	MBRD01000002.1	83347	103652	13001800	rre-containing	ripp
525629879	2733672	22433	MBRD01000002.1	83705	106137	13001800	lassopeptide	ripp
525794227	2734810	59977	KV757584.1	1785	61761	13006809	nrps	nrps
525794247	2734810	53370	KV757584.1	8392	61761	13006809	t1pks	pks
532640591	2776414	13955	NOLI01000123.1	1	13955	13192252	microviridin	ripp
535435622	2800355	42487	DGDH01000177.1	444	42930	13291743	lanthipeptide-class-v	ripp
539881662	2833254	37575	LAHE01000009.1	1	37575	13434824	hgle-ks	pks
541586611	2845005	29528	NGZT01000073.1	110407	139934	13486221	crocagin	ripp
541934548	2847068	47211	NJHU01000403.1	1	47211	13495826	hgle-ks	pks
541983536	2847379	20810	BEIU01000002.1	22689	43498	13497270	terpene	terpene
541984241	2847385	20153	BEIU01000002.1	126075	146227	13497291	microviridin	ripp
543082600	2854272	12106	PXPM01000084.1	445	12550	13527737	terpene	terpene
543113217	2854491	12665	PXPY01000236.1	1	12665	13528732	nrps-independent-siderophore	other
550398871	2910014	35092	RSCL01000032.1	57870	92961	13782927	nrps-like	nrps
575872927	3081513	16814	NEXP01000049.1	46962	63775	14563221	cdps	nrps
635331741	3482373	20987	NZ_LAHA01000037.1	44703	65689	16342627	terpene	terpene
635332813	3482379	14086	NZ_LAHA01000037.1	92284	106369	16342658	cyanobactin	ripp
635332886	3482379	12325	NZ_LAHA01000037.1	93835	106159	16342658	ripp-like	ripp
635371128	3482586	20294	NZ_LAHG01000005.1	24742	45035	16343671	microviridin	ripp
636020381	3486184	29354	NZ_NHAI01000051.1	721	30074	16360826	crocagin	ripp
636025681	3486218	29633	NZ_NHAG01000062.1	18748	48380	16360981	crocagin	ripp
636046941	3486329	7305	NZ_NMQA01000224.1	1	7305	16361543	hgle-ks	pks
637232085	3493204	51561	NZ_PVWK01000125.1	1	51561	16394191	t2pks	pks
913470996	5400445	22738	CANHDI010000029.1	1	22738	25194042	nrps-like	nrps
913976984	5403497	4332	CANLCW010000413.1	1	4332	25207981	nrps	nrps
914201410	5404810	11277	CANLUB010000150.1	1	11277	25214014	nrps	nrps
914201478	5404810	11274	CANLUB010000150.1	2	11275	25214014	nrps-like	nrps
915170705	5410557	12832	CANNAY010000095.1	1	12832	25240305	nrps-like	nrps
915170713	5410557	12832	CANNAY010000095.1	1	12832	25240305	t1pks	pks
929160806	5491142	7644	CAIMSC010000332.1	1	7644	25611544	nrps	nrps
933866429	5518217	2240	CAIYEC010000349.1	1	2240	25735551	t1pks	pks
933985788	5518933	2711	CAIYIN010000254.1	1	2711	25738809	t3pks	pks
934207818	5520196	3905	CAIYRW010000049.1	1	3905	25744565	rre-containing	ripp
954777812	5639005	6368	CALMNU010000805.1	1	6368	26289046	terpene	terpene
962326665	5682326	21284	CVSV01000131.1	250932	272215	26487636	terpene	terpene
962507316	5683354	13115	CVSZ01000071.1	126235	139349	26492395	terpene	terpene
1216687216	7276197	22834	LWSY01000209.1	1	22834	33976460	nrps-like	nrps
1216687217	7276197	22834	LWSY01000209.1	1	22834	33976460	t1pks	pks
1296188022	7761184	33305	JADQBA010000069.1	1	33305	36335690	nrps	nrps
1296192741	7761210	18100	JADQBA010000164.1	1	18100	36335819	nrps	nrps
1301466799	7795123	4772	AQPY01000350.1	1	4772	36499337	cyanobactin	ripp
1303546165	7808229	21212	JNAJ01000016.1	35778	56989	36562677	terpene	terpene
1321467067	7927393	43045	ASZQ01000276.1	23905	66949	37129189	t1pks	pks
1323408295	7941977	17698	JAHHGV010000044.1	1	17698	37193047	phosphonate	other
1323413794	7942023	24523	JAHHGV010000082.1	1	24523	37193260	nrps-like	nrps
1325323101	7956574	27160	AJLK01000084.1	1	27160	37256889	nrps	nrps
1327659858	7975322	16867	CALJJQ010000095.1	5785	22651	37340225	spliceotide	ripp
1327659863	7975322	13329	CALJJQ010000095.1	9323	22651	37340225	microviridin	ripp
1338768225	8063160	20909	JFMY01000032.1	113047	133955	37726211	terpene	terpene
1344485496	8102351	20912	JNBE01000017.1	677	21588	37901394	terpene	terpene
1345937546	8112126	9737	LJOT01000157.1	1	9737	37945760	lanthipeptide-class-v	ripp
1352386141	8154067	19574	BBPA01000075.1	1	19574	38136085	terpene	terpene
1353090763	8159015	45294	JAGKSW010000184.1	1	45294	38158539	nrps	nrps
1353090784	8159015	33227	JAGKSW010000184.1	12068	45294	38158539	t1pks	pks
1368967782	8268189	6018	CAJQOK010000228.1	1	6018	38649717	nrps	nrps
1369446522	8271803	78486	JADEXR010000006.1	1599	80084	38665538	nrp-metallophore	nrps
1369446525	8271803	78486	JADEXR010000006.1	1599	80084	38665538	nrps	nrps
1369446554	8271803	44602	JADEXR010000006.1	7326	51927	38665538	t1pks	pks
1370499534	8279633	22792	JAHHHO010000005.1	11689	34480	38699389	lassopeptide	ripp
1377656738	8332610	20909	JFMV01000003.1	111538	132446	38933772	terpene	terpene
1393062778	8467266	21284	QCIP01000007.1	50665	71948	39527168	terpene	terpene
1394289907	8479460	4628	MTAW01000011.1	1	4628	39579762	nrps	nrps
1395346386	8490200	13124	SJEE01000008.1	145576	158699	39625950	terpene	terpene
1395401838	8490677	21681	VJOX01002034.1	1	21681	39628046	t1pks	pks
1395401839	8490677	21681	VJOX01002034.1	1	21681	39628046	hgle-ks	pks
1396670962	8503495	18341	QCEE01000004.1	85617	103957	39683108	terpene	terpene
1396691691	8503732	20909	QCEC01000001.1	74290	95198	39684105	terpene	terpene
1399329636	8528022	41176	SFAR01000207.1	1201	42376	39788588	t3pks	pks
1399329653	8528022	49448	SFAR01000207.1	3772	53219	39788588	t1pks	pks
1399329691	8528022	43795	SFAR01000207.1	13415	57209	39788588	nrps-like	nrps
1400617438	8538673	4086	SFAI01000094.1	1	4086	39834796	lanthipeptide-class-v	ripp
1403079965	8559370	21269	PGOU01000003.1	159989	181257	39925751	terpene	terpene
1403318017	8561291	20543	JAAORI010000003.1	280435	300977	39934200	terpene	terpene
1403318170	8561292	21212	JAAORI010000003.1	675975	697186	39934204	terpene	terpene
1403845928	8565168	44320	JAHHHK010000006.1	169082	213401	39951392	pufa	other
1403845944	8565168	42949	JAHHHK010000006.1	177129	220077	39951392	hgle-ks	pks
1403853034	8565203	13779	JAHHHK010000073.1	1	13779	39951556	nrps-like	nrps
1403915409	8565728	20969	JAHHHY010000020.1	5571	26539	39953892	terpene	terpene
1404256794	8568369	29932	JAQMSL010000318.1	1	29932	39965684	nrps	nrps
1404256802	8568369	29285	JAQMSL010000318.1	2	29286	39965684	nrps-like	nrps
1404409936	8569609	14170	JAHHHM010000044.1	1	14170	39971138	nrps-like	nrps
1405736574	8580362	18808	JAGHZO010000074.1	1	18808	40018491	betalactone	other
1406093901	8583317	5194	JAQMTJ010000038.1	1	5194	40031488	nrps	nrps
1406873603	8589337	2323	JAQMSU010000703.1	1	2323	40057867	nrps	nrps
1406950313	8589962	35313	JAQMUG010000026.1	244	35556	40060572	nrps	nrps
1406953323	8589982	57646	JAQMUG010000202.1	1	57646	40060657	nrps	nrps
1406953334	8589982	55710	JAQMUG010000202.1	1937	57646	40060657	t1pks	pks
1406953569	8589982	32441	JAQMUG010000202.1	25206	57646	40060657	nrps-like	nrps
1408187990	8599398	11674	JAPZSF010000023.1	10286	21959	40102163	terpene	terpene
1410484183	8616498	7434	JAQCKG010000078.1	1	7434	40177451	t3pks	pks
1410673639	8618033	29143	JACJOA010000051.1	1	29143	40184193	nrps	nrps
1411157532	8621784	18160	JANXUJ010000128.1	1	18160	40200590	terpene	terpene
1411535649	8624782	4246	JADEWG010000275.1	1	4246	40213527	nrps	nrps
1411535650	8624782	4246	JADEWG010000275.1	1	4246	40213527	nrps-like	nrps
1411941756	8627925	20906	QCVQ01000006.1	17054	37959	40227105	terpene	terpene
1414475484	8647424	58901	JACYLX010000111.1	1	58901	40311483	t1pks	pks
1414475485	8647424	58901	JACYLX010000111.1	1	58901	40311483	nrp-metallophore	nrps
1414475486	8647424	58901	JACYLX010000111.1	1	58901	40311483	nrps	nrps
1414869865	8650295	38541	JACJQW010000047.1	5318	43858	40324005	nrps-like	nrps
1414881181	8650396	25348	JAAURS010000017.1	1	25348	40324424	nrps-like	nrps
1415486828	8654796	50359	JAKOGZ010000003.1	8602	58960	40343900	nrps-like	nrps
1415486829	8654796	50359	JAKOGZ010000003.1	8602	58960	40343900	t1pks	pks
1415550712	8655317	22852	JAAURG010000010.1	1	22852	40346123	t1pks	pks
1416020102	8658656	28413	JAAUQT010000031.1	8423	36835	40360863	t1pks	pks
1416631083	8663017	52075	JAAUOG010000005.1	1	52075	40379974	nrps	nrps
1416631092	8663017	42043	JAAUOG010000005.1	1651	43693	40379974	t1pks	pks
1416757791	8663964	47134	JACJSJ010000032.1	3695	50828	40384171	hgle-ks	pks
1416757799	8663964	43282	JACJSJ010000032.1	11129	54410	40384171	t1pks	pks
1416833484	8664479	45935	JALOOL010000006.1	1894	47828	40386441	nrp-metallophore	nrps
1416833485	8664479	45935	JALOOL010000006.1	1894	47828	40386441	nrps	nrps
1416833503	8664479	38429	JALOOL010000006.1	9400	47828	40386441	t1pks	pks
1416835941	8664495	14023	JALOOL010000141.1	1	14023	40386517	lanthipeptide-class-v	ripp
1416981206	8665624	40482	JAAUON010000011.1	18153	58634	40391464	hgle-ks	pks
1416981207	8665624	40482	JAAUON010000011.1	18153	58634	40391464	t1pks	pks
1417158404	8666877	20498	JACJSU010000006.1	138239	158736	40396975	rre-containing	ripp
1418434870	8676209	7901	JARFRK010000803.1	1	7901	40437869	terpene	terpene
1419934232	8687261	70273	JAKGOQ010000002.1	44096	114368	40486238	nrps	nrps
1419934260	8687261	35186	JAKGOQ010000002.1	47478	82663	40486238	betalactone	other
1422723433	8707183	20909	QCIS01000002.1	177839	198747	40574110	terpene	terpene
1423843564	8714765	28910	CACA01000369.1	1	28910	40609238	t1pks	pks
1447781717	8866349	12847	PBVK01000007.1	1	12847	41312047	terpene	terpene
1454365394	8908030	33767	PVWD01000024.1	1	33767	41508103	t1pks	pks
1465874162	8984092	44445	AUZM01000031.1	1	44445	41863252	nrp-metallophore	nrps
1465874165	8984092	36723	AUZM01000031.1	1	36723	41863252	nrps	nrps
1465874429	8984093	26027	AUZM01000031.1	45011	71037	41863257	nrps-like	nrps
1465874434	8984093	22188	AUZM01000031.1	48850	71037	41863257	t1pks	pks
1478199701	9062875	5503	CAQM01000385.1	1	5503	42231667	t1pks	pks
1507898803	9253127	16130	QCQK01000022.1	3418	19547	43130287	terpene	terpene
1582248419	9732870	16232	SFBT01000052.1	15903	32134	45460001	terpene	terpene
1582342236	9733463	30758	SFBR01000170.1	1	30758	45462884	hgle-ks	pks
1582342251	9733463	22598	SFBR01000170.1	5256	27853	45462884	rre-containing	ripp
1582443706	9734135	24710	SFBP01000006.1	1	24710	45466160	nrps	nrps
1582443712	9734135	24708	SFBP01000006.1	1	24708	45466160	nrps-like	nrps
1610476908	9913906	17075	RGWF01000004.1	16338	33412	46339845	terpene	terpene
1632178932	10054057	5841	JAAUUX010000086.1	1	5841	47017380	lanthipeptide-class-v	ripp
1632643258	10057146	4715	JAAUTW010000270.1	1	4715	47032244	terpene	terpene
1635525057	10076624	11881	JAAUPE010000197.1	1	11881	47126006	mycosporine-like	nrps
1635617531	10077249	4457	JAAUOX010000096.1	1	4457	47129040	nrps	nrps
1704124754	10520833	18747	JACEGC010000096.1	1	18747	49278171	nrps	nrps
1704124783	10520833	13862	JACEGC010000096.1	4886	18747	49278171	rre-containing	ripp
1738176907	10748701	43078	JACJRF010000002.1	4147	47224	50378660	t1pks	pks
1738184035	10748741	50240	JACJRF010000040.1	1	50240	50378857	t1pks	pks
1738184038	10748741	45137	JACJRF010000040.1	1	45137	50378857	nrps	nrps
1739188936	10755189	31531	JACJSD010000066.1	1	31531	50409862	nrps	nrps
1739188940	10755189	31528	JACJSD010000066.1	2	31529	50409862	nrps-like	nrps
1740142531	10761336	24757	JACJTR010000065.1	1	24757	50439407	t1pks	pks
1757582187	10878083	20778	WBKL01000079.1	1	20778	50999941	terpene	terpene
1757585685	10878102	15946	WBKL01000159.1	1	15946	51000036	terpene	terpene
1764527240	10924365	4632	JADEXW010000462.1	1	4632	51221685	nrps-like	nrps
1764565669	10924583	11552	JADEXN010000106.1	1	11552	51222742	nrps	nrps
1764598945	10924782	42389	JADEXK010000022.1	34779	77167	51223708	lanthipeptide-class-v	ripp
1764716837	10925694	11582	JADEWW010000168.1	1	11582	51228024	terpene	terpene
1764913739	10926939	16735	JADEVX010000097.1	1	16735	51234051	cyanobactin	ripp
1774722401	10977718	6451	CAIL01000063	1	6451	51476533	terpene	terpene
1791271280	11061525	9968	Ga0055315_1205	1	9968	51875331	hgle-ks	pks
1812268873	11179112	41288	Ga0336786_035	1	41288	52435368	lanthipeptide-class-v	ripp
1812494214	11180292	46834	Ga0339042_565	1	46834	52440997	nrps	nrps
1812692542	11181326	1478	Ga0336788_281	1	1478	52445953	proteusin	ripp
1819074965	11213796	2100	Ga0309087_11146	1	2100	52601118	nrps	nrps
1819258715	11214623	13186	Ga0268481_121	1	13186	52605093	terpene	terpene
1819336394	11214972	18595	Ga0268467_104	1	18595	52606772	lanthipeptide-class-ii	ripp
1820665930	11221387	6921	GQ385960	1	6921	52637419	nrps-like	nrps
1820665931	11221387	6921	GQ385960	1	6921	52637419	t1pks	pks
1820807765	11221982	20933	NZ_AANO01000004	56050	76982	52640277	terpene	terpene
1821609367	11225667	6915	Ga0373719_1319	1	6915	52657906	nrps-like	nrps
1824677867	11240536	6563	Ga0481358_0778	1	6563	52728970	lanthipeptide-class-v	ripp
1824678900	11240547	4836	Ga0481358_0967	1	4836	52729023	nrps	nrps
1943400120	12022968	26313	JADBVK010000045.1	1	26313	56465294	nrps-like	nrps
1943400121	12022968	26313	JADBVK010000045.1	1	26313	56465294	t1pks	pks
1845721413	11370047	47287	JADQBB010000002.1	46993	94279	53346737	nrps	nrps
1845721438	11370047	41872	JADQBB010000002.1	54287	96158	53346737	nrps-like	nrps
1903910637	11764038	40075	JAHHHN010000012.1	133027	173101	55234336	nrps	nrps
1903910656	11764038	29455	JAHHHN010000012.1	143647	173101	55234336	t1pks	pks
1905094787	11771803	38688	JAHHGQ010000061.1	1	38688	55271580	t1pks	pks
1905094802	11771803	34897	JAHHGQ010000061.1	3792	38688	55271580	nrps-like	nrps
1905094822	11771803	22788	JAHHGQ010000061.1	15901	38688	55271580	lanthipeptide-class-ii	ripp
1905094832	11771803	19075	JAHHGQ010000061.1	19614	38688	55271580	proteusin	ripp
1907750675	11788612	3899	JAIUYC010000666.1	1	3899	55351800	nrps	nrps
1908173333	11791321	3750	JAIWOC010000205.1	1	3750	55364740	proteusin	ripp
