"bgc_id"	"smc_bgc_length"	"contig_name"	"bgc_start_nt"	"bgc_end_nt"	"bgc_category"	"bgc_class"
7772	40840	NC_019757.1	6184659	6225498	{RiPP}	{lanthipeptide-class-v,ripp}
7775	42471	NC_019757.1	6480940	6523410	{RiPP}	{lanthipeptide-class-v}
7778	31134	NC_019757.1	6663948	6695081	{RiPP}	{crocagin}
7780	48128	NC_019757.1	6798143	6846270	{NRP}	{nrp,nrps}
7783	43312	NC_019757.1	6871061	6914372	{NRP,Other}	{betalactone,nrp,nrps}
7786	47348	NC_019757.1	6956213	7003560	{Alkaloid,Polyketide}	{alkaloid,polyketide,t1pks}
7789	114851	NC_020050.1	16464	131314	{NRP,Polyketide}	{nrp,nrps,nrps-like,polyketide,t1pks}
10167	20318	NC_023033.1	339930	360247	{Terpene}	{terpene}
10168	19694	NC_023033.1	938028	957721	{Terpene}	{terpene}
10169	21929	NC_023033.1	1692391	1714319	{Terpene}	{terpene}
12365	41158	NZ_CM002803.1	264312	305469	{Polyketide}	{ladderane}
12369	20060	NZ_CM002803.1	843515	863574	{Terpene}	{terpene}
12370	19305	NZ_CM002803.1	933376	952680	{Terpene}	{terpene}
12372	57458	NZ_CM002803.1	1556761	1614218	{NRP,Polyketide,Saccharide}	{nrp,nrps,nrps-like,polyketide,saccharide}
12373	91005	NZ_CM002803.1	2193751	2284755	{NRP,Polyketide}	{nrp,nrps,polyketide,t1pks}
12375	15956	NZ_CM002803.1	3004978	3020933	{Other}	{phosphonate}
12376	31422	NZ_CM002803.1	3504268	3535689	{RiPP}	{cyanobactin,ripp}
12377	21992	NZ_CM002803.1	3761475	3783466	{Terpene}	{terpene}
12378	94365	NZ_CM002803.1	3886852	3981216	{NRP,Other,RiPP}	{betalactone,microviridin,nrp,nrps}
12381	63434	NZ_CM002808.1	5407	68840	{NRP,Polyketide}	{nrps-like,polyketide,t1pks,transat-pks-like}
13550	18926	NZ_CP011941.1	442982	461907	{Terpene}	{terpene}
13551	41095	NZ_CP011941.1	844956	886050	{Polyketide}	{polyketide,t3pks}
13553	20909	NZ_CP011941.1	1826404	1847312	{Terpene}	{terpene}
13969	20963	NZ_FO818640.1	3061044	3082006	{Terpene}	{terpene}
13970	39094	NZ_FO818640.1	3818272	3857365	{RiPP}	{cyanobactin,ripp}
13989	42316	NZ_FO818640.1	5789600	5831915	{RiPP}	{lanthipeptide-class-v,ripp}
14378	19898	NZ_CP012036.1	508807	528704	{Terpene}	{terpene}
14380	8664	NZ_CP012036.1	934822	943485	{RiPP}	{ripp-like}
14382	28958	NZ_CP012036.1	1048146	1077103	{RiPP}	{microviridin,ripp}
14384	22502	NZ_CP012036.1	1330332	1352833	{RiPP}	{lassopeptide,ripp}
14389	59717	NZ_CP012036.1	1719859	1779575	{Other,Polyketide}	{hgle-ks,other,t1pks}
14393	25987	NZ_CP012036.1	2066222	2092208	{RiPP}	{lanthipeptide-class-ii,ripp}
14397	94681	NZ_CP012036.1	2755063	2849743	{NRP,Polyketide}	{nrp,nrps,polyketide,t1pks}
14410	84363	NZ_CP012036.1	3334507	3418869	{NRP,Polyketide}	{nrp,nrps,polyketide,t1pks}
14420	44170	NZ_CP012036.1	3474980	3519149	{NRP}	{nrp,nrps}
14423	41770	NZ_CP012036.1	3751617	3793386	{RiPP}	{lanthipeptide-class-v}
14425	61676	NZ_CP012036.1	4624925	4686600	{NRP,Saccharide,Terpene}	{nrp,nrps-like,saccharide,terpene}
14427	42436	NZ_CP012036.1	4705024	4747459	{RiPP}	{lanthipeptide-class-v}
14431	35624	NZ_CP012036.1	5360265	5395888	{RiPP}	{lap,ripp,thiopeptide}
14433	42889	NZ_CP012036.1	5832453	5875341	{NRP}	{nrp,nrps-like}
14439	27494	NZ_CP012036.1	6801652	6829145	{Terpene}	{terpene}
14895	60591	NZ_CP017675.1	409902	470492	{Other}	{acyl_amino_acids}
14899	19089	NZ_CP017675.1	1344670	1363758	{Terpene}	{terpene}
14901	22851	NZ_CP017675.1	2071279	2094129	{Terpene}	{terpene}
14904	22218	NZ_CP017675.1	3027065	3049282	{Polyketide}	{arylpolyene}
15058	20174	NZ_CP018345.1	352617	372790	{Terpene}	{terpene}
15062	20526	NZ_CP018345.1	754420	774945	{Terpene}	{terpene}
15063	19293	NZ_CP018344.1	701198	720490	{Terpene}	{terpene}
15064	20909	NZ_CP018345.1	1192476	1213384	{Terpene}	{terpene}
15065	20526	NZ_CP018344.1	1139038	1159563	{Terpene}	{terpene}
15067	21212	NZ_CP018344.1	1540896	1562107	{Terpene}	{terpene}
15070	20526	NZ_CP018346.1	240936	261461	{Terpene}	{terpene}
15071	19293	NZ_CP018346.1	680051	699343	{Terpene}	{terpene}
15073	21212	NZ_CP018346.1	1494435	1515646	{Terpene}	{terpene}
18235	20195	NZ_AP018316.1	508169	528363	{RiPP}	{cyanobactin}
18240	51537	NZ_AP018316.1	1091581	1143117	{RiPP,Terpene}	{lanthipeptide-class-v,terpene}
18243	20792	NZ_AP018316.1	2389595	2410386	{NRP,Saccharide,Terpene}	{nrp,saccharide,terpene}
18245	42435	NZ_AP018316.1	3352671	3395105	{RiPP}	{lanthipeptide-class-v}
18248	45550	NZ_AP018316.1	3413996	3459545	{NRP}	{nrp,nrps}
18252	43823	NZ_AP018316.1	3836100	3879922	{Other,Polyketide}	{hgle-ks,other}
18253	127138	NZ_AP018316.1	3906382	4033519	{NRP,Other,Polyketide,RiPP}	{betalactone,hgle-ks,microviridin,nrp,nrps,t1pks}
18254	40203	NZ_AP018316.1	4982042	5022244	{RiPP}	{lap,ripp,thiopeptide}
18256	20831	NZ_AP018316.1	5097821	5118651	{Terpene}	{terpene}
18283	49415	NZ_AP018314.1	451085	500499	{Other,Polyketide}	{hgle-ks,other,t1pks}
18291	41170	NZ_AP018314.1	960291	1001460	{Polyketide}	{ladderane}
18294	43955	NZ_AP018314.1	1083814	1127768	{NRP}	{mycosporine-like}
18301	19245	NZ_AP018314.1	1533884	1553128	{Terpene}	{terpene}
18304	41135	NZ_AP018314.1	1679726	1720860	{RiPP}	{lanthipeptide-class-v}
18309	18940	NZ_AP018314.1	1982184	2001123	{NRP,Saccharide,Terpene}	{nrp,saccharide,terpene}
18317	43258	NZ_AP018314.1	3083610	3126867	{Other,RiPP}	{lanthipeptide-class-v,other,ripp}
18323	87049	NZ_AP018314.1	4307153	4394201	{NRP,Other,RiPP}	{betalactone,microviridin,nrp,nrps}
18329	49009	NZ_AP018314.1	4934894	4983902	{Other,Polyketide}	{hgle-ks,other}
18335	20933	NZ_AP018314.1	5209357	5230289	{Terpene}	{terpene}
18399	41519	NZ_AP018174.1	96136	137654	{RiPP}	{lanthipeptide-class-v}
18400	84823	NZ_AP018174.1	1215172	1299994	{NRP,Polyketide}	{nrp,nrps,polyketide,t1pks}
18402	20323	NZ_AP018166.1	880789	901111	{Terpene}	{terpene}
18404	23923	NZ_AP018166.1	974701	998623	{RiPP}	{lap,ripp}
18405	55988	NZ_AP018174.1	1554241	1610228	{NRP,RiPP}	{lap,nrp,nrps-like,ripp}
18406	40623	NZ_AP018166.1	1253955	1294577	{RiPP}	{lanthipeptide-class-v,ripp}
18408	77811	NZ_AP018166.1	1591460	1669270	{NRP,Polyketide}	{nrp,nrp-metallophore,nrps,polyketide,t1pks}
18411	22466	NZ_AP018174.1	2430707	2453172	{RiPP}	{lassopeptide,ripp}
18412	18086	NZ_AP018174.1	2512232	2530317	{Terpene}	{terpene}
18413	21198	NZ_AP018174.1	2751900	2773097	{Terpene}	{terpene}
18416	20562	NZ_AP018166.1	1932112	1952673	{Terpene}	{terpene}
18417	20422	NZ_AP018174.1	2985417	3005838	{Terpene}	{terpene}
18419	43075	NZ_AP018174.1	3304642	3347716	{NRP}	{nrp,nrps-like}
18422	37880	NZ_AP018166.1	2810516	2848395	{RiPP}	{lanthipeptide-class-v}
18425	20466	NZ_AP018174.1	4610650	4631115	{Polyketide,Terpene}	{polyketide,terpene}
18427	42315	NZ_AP018166.1	3199926	3242240	{RiPP}	{lanthipeptide-class-v,ripp,rre-containing,spliceotide}
18430	18236	NZ_AP018166.1	3415085	3433320	{Terpene}	{terpene}
18434	46005	NZ_AP018166.1	3574304	3620308	{NRP}	{nrp,nrps}
18435	21908	NZ_AP018174.1	5350262	5372169	{Terpene}	{terpene}
18440	20864	NZ_AP018166.1	3855253	3876116	{Terpene}	{terpene}
18444	52843	NZ_AP018174.1	5672107	5724949	{Other,Polyketide}	{hgle-ks,other,t1pks}
18447	51335	NZ_AP018166.1	4214019	4265353	{Other,Polyketide}	{hgle-ks,other,t1pks}
18449	42403	NZ_AP018174.1	6052886	6095288	{RiPP}	{lanthipeptide-class-v}
18452	93798	NZ_AP018166.1	4327511	4421308	{NRP,Other,Polyketide}	{hgle-ks,nrp,nrps,other,resorcinol}
18460	47596	NZ_AP018166.1	5093388	5140983	{NRP}	{nrp,nrps}
18467	69788	NZ_AP018166.1	6213380	6283167	{NRP,Polyketide}	{nrp,nrps,nrps-like,polyketide,t1pks}
18491	63103	NZ_AP018216.1	32642	95744	{NRP,Polyketide}	{hgle-ks,nrp,nrps,polyketide,t1pks}
18492	42433	NZ_AP018216.1	113836	156268	{NRP}	{nrp,nrps}
18493	19164	NZ_AP018216.1	269116	288279	{Terpene}	{terpene}
18494	20185	NZ_AP018216.1	295391	315575	{Terpene}	{terpene}
18495	40565	NZ_AP018216.1	405563	446127	{RiPP}	{lanthipeptide-class-v,ripp}
18496	27114	NZ_AP018216.1	518824	545937	{RiPP}	{lanthipeptide-class-ii,proteusin,ripp,ripp-like,spliceotide}
18499	42465	NZ_AP018216.1	1047503	1089967	{RiPP}	{lanthipeptide-class-v}
18500	93930	NZ_AP018216.1	1235053	1328982	{NRP,Polyketide}	{nrp,nrp-metallophore,nrps,t1pks}
18501	58377	NZ_AP018216.1	1334993	1393369	{NRP,Polyketide}	{nrps-like,polyketide,t1pks}
18507	41167	NZ_AP018216.1	3226810	3267976	{Polyketide}	{ladderane}
18510	21219	NZ_AP018216.1	3684021	3705239	{Terpene}	{terpene}
18512	52619	NZ_AP018216.1	4472087	4524705	{Other,Polyketide}	{hgle-ks,other,t1pks}
18514	22813	NZ_AP018216.1	4968586	4991398	{Other}	{nrps-independent-siderophore,other}
18515	21914	NZ_AP018216.1	5409714	5431627	{Terpene}	{terpene}
18518	20303	NZ_AP018217.1	227724	248026	{RiPP}	{microviridin,ripp}
18527	19352	NZ_AP018298.1	11184	30535	{Terpene}	{terpene}
18529	40048	NZ_AP018298.1	418858	458905	{RiPP}	{lassopeptide,ripp}
18531	53666	NZ_AP018298.1	1405831	1459496	{Other,Polyketide}	{hgle-ks,other,resorcinol}
18532	52646	NZ_AP018298.1	1646143	1698788	{Polyketide}	{hgle-ks,polyketide}
18533	20335	NZ_AP018298.1	2082058	2102392	{Terpene}	{terpene}
18538	49369	NZ_AP018298.1	3409110	3458478	{RiPP,Saccharide}	{crocagin,saccharide}
18539	20707	NZ_AP018298.1	3616940	3637646	{Terpene}	{terpene}
18542	52777	NZ_AP018298.1	4184895	4237671	{Other,Polyketide}	{hgle-ks,other,t1pks}
18543	45095	NZ_AP018298.1	4319038	4364132	{NRP}	{mycosporine-like,nrp,nrps-like}
18546	61455	NZ_AP018298.1	4763072	4824526	{NRP}	{nrp,nrps,nrps-like}
18549	90213	NZ_AP018298.1	5780441	5870653	{NRP,Terpene}	{nrp,nrps,terpene}
18550	42367	NZ_AP018298.1	5930698	5973064	{RiPP}	{lanthipeptide-class-v}
18551	161463	NZ_AP018299.1	207	161669	{NRP,Polyketide,RiPP}	{microviridin,nrp,nrps,nrps-like,polyketide,t1pks}
18552	124791	NZ_AP018299.1	179871	304661	{Alkaloid,NRP,Other,Polyketide,Terpene}	{alkaloid,nrps,other,t1pks,terpene}
18553	40560	NZ_AP018299.1	387587	428146	{NRP}	{nrp,nrps-like}
18554	72479	NZ_AP018299.1	449165	521643	{NRP,Polyketide}	{nrps,polyketide,t1pks}
18555	57272	NZ_AP018300.1	201462	258733	{NRP,Terpene}	{nrp,nrps,terpene}
18557	18643	NZ_AP018184.1	638273	656915	{Terpene}	{terpene}
18560	26970	NZ_AP018184.1	1134953	1161922	{RiPP}	{lanthipeptide-class-ii,ripp}
18562	40682	NZ_AP018184.1	1648034	1688715	{RiPP}	{lanthipeptide-class-v,ripp,rre-containing,spliceotide}
18564	21477	NZ_AP018184.1	2190856	2212332	{Other}	{nrps-independent-siderophore,other}
18567	20844	NZ_AP018184.1	2220110	2240953	{RiPP}	{microviridin,ripp}
18569	92119	NZ_AP018222.1	174423	266541	{NRP,Polyketide}	{nrp,nrps,polyketide,t1pks}
18571	41664	NZ_AP018184.1	2393990	2435653	{RiPP}	{lanthipeptide-class-v}
18573	51806	NZ_AP018184.1	2465673	2517478	{NRP,Polyketide}	{nrp,nrps,polyketide}
18578	75662	NZ_AP018184.1	3604077	3679738	{NRP,Polyketide}	{cdps,nrp,nrps,polyketide,t1pks}
18580	20075	NZ_AP018222.1	2000488	2020562	{Terpene}	{terpene}
18581	21140	NZ_AP018222.1	2085386	2106525	{NRP,Saccharide,Terpene}	{nrp,saccharide,terpene}
18583	41471	NZ_AP018222.1	2117627	2159097	{NRP}	{nrp,nrps-like}
18586	21137	NZ_AP018184.1	3945272	3966408	{Other}	{indole}
18587	48116	NZ_AP018222.1	2195623	2243738	{Other,Polyketide}	{hgle-ks,other,t1pks}
18588	42430	NZ_AP018184.1	3982150	4024579	{RiPP}	{lanthipeptide-class-v,ripp}
18590	19025	NZ_AP018222.1	2455430	2474454	{Terpene}	{terpene}
18592	46429	NZ_AP018184.1	4196197	4242625	{NRP}	{mycosporine-like,nrp,nrps-like}
18594	41764	NZ_AP018222.1	3236838	3278601	{RiPP}	{lanthipeptide-class-v,ripp}
18597	20444	NZ_AP018184.1	4303316	4323759	{Terpene}	{terpene}
18599	44827	NZ_AP018222.1	3400614	3445440	{NRP}	{nrp,nrps}
18601	52371	NZ_AP018184.1	4684250	4736620	{Other,Polyketide}	{hgle-ks,other,t1pks}
18602	21517	NZ_AP018222.1	3562818	3584334	{NRP,RiPP}	{lap,nrp}
18604	50500	NZ_AP018222.1	3703967	3754466	{Other,Polyketide}	{hgle-ks,other,t1pks}
18605	41149	NZ_AP018184.1	5103519	5144667	{Polyketide}	{ladderane}
18606	56913	NZ_AP018222.1	3771616	3828528	{RiPP}	{lanthipeptide-class-v}
18609	21911	NZ_AP018184.1	6092494	6114404	{NRP,Saccharide,Terpene}	{nrp,saccharide,terpene}
18610	62794	NZ_AP018222.1	4025400	4088193	{NRP,RiPP}	{lanthipeptide-class-v,nrp,nrps-like,ripp}
18611	43518	NZ_AP018185.1	121203	164720	{NRP}	{mycosporine-like}
18613	39632	NZ_AP018186.1	1	39632	{NRP}	{nrp,nrps}
18614	22361	NZ_AP018222.1	4119388	4141748	{RiPP}	{redox-cofactor}
18617	47461	NZ_AP018186.1	112654	160114	{NRP}	{nrp,nrps}
18622	15471	NZ_AP018222.1	4583391	4598861	{Other}	{phosphonate}
18623	24764	NZ_AP018186.1	284883	309646	{Terpene}	{terpene}
18627	95989	NZ_AP018187.1	1	95989	{NRP,Polyketide}	{nrp,nrp-metallophore,nrps,polyketide,t1pks}
18629	25542	NZ_AP018222.1	5190035	5215576	{RiPP}	{microviridin,ripp}
18630	25513	NZ_AP018222.1	5305842	5331354	{RiPP}	{lap,ripp}
18631	50989	NZ_AP018222.1	5421382	5472370	{NRP}	{nrp,nrps}
18634	20831	NZ_AP018222.1	5630376	5651206	{Terpene}	{terpene}
18635	48523	NZ_AP018222.1	5720269	5768791	{NRP}	{nrp,nrps}
18637	64895	NZ_AP018222.1	5793556	5858450	{NRP,Polyketide}	{nrp,nrps,polyketide}
18640	61111	NZ_AP018207.1	114154	175264	{NRP,Polyketide}	{nrp,nrps,polyketide,t1pks}
18641	23306	NZ_AP018222.1	6061186	6084491	{RiPP}	{lanthipeptide-class-ii,ripp}
18643	71732	NZ_AP018222.1	6094705	6166436	{NRP,Polyketide}	{nrp,nrps,polyketide,t1pks}
18645	21153	NZ_AP018207.1	402577	423729	{Saccharide,Terpene}	{saccharide,terpene}
18651	37530	NZ_AP018222.1	6215395	6252924	{RiPP,Saccharide}	{rre-containing,saccharide}
18655	20351	NZ_AP018207.1	1771693	1792043	{RiPP}	{microviridin,ripp}
18656	44809	NZ_AP018223.1	279060	323868	{NRP}	{nrp,nrps}
18658	39576	NZ_AP018207.1	1841708	1881283	{NRP}	{nrp,nrps}
18659	22349	NZ_AP018223.1	894545	916893	{Terpene}	{terpene}
18662	20257	NZ_AP018207.1	2042211	2062467	{Terpene}	{terpene}
18663	25373	NZ_AP018223.1	1241516	1266888	{RiPP}	{ripp,thioamitides,thiopeptide}
18665	44702	NZ_AP018223.1	1372047	1416748	{NRP}	{mycosporine-like,nrp}
18667	51023	NZ_AP018207.1	2293512	2344534	{NRP,RiPP}	{lap,nrp,nrps}
18678	63617	NZ_AP018207.1	3892872	3956488	{Other,Polyketide}	{hgle-ks,other,t1pks}
18679	44178	NZ_AP018288.1	104814	148991	{NRP}	{nrp,nrps}
18682	42558	NZ_AP018207.1	3970381	4012938	{RiPP}	{lanthipeptide-class-v}
18684	30613	NZ_AP018288.1	338253	368865	{Other,Terpene}	{other,terpene}
18686	60276	NZ_AP018288.1	634388	694663	{RiPP,Saccharide}	{crocagin,saccharide}
18687	43061	NZ_AP018207.1	5051805	5094865	{NRP}	{nrp,nrps-like}
18689	60030	NZ_AP018288.1	857102	917131	{NRP}	{nrp,nrps,nrps-like}
18690	91641	NZ_AP018207.1	6738534	6830174	{NRP,Polyketide}	{nrp,nrp-metallophore,nrps,polyketide,t1pks}
18691	47467	NZ_AP018288.1	1108780	1156246	{NRP,Polyketide}	{nrp,nrps-like,polyketide,t1pks}
18692	42043	NZ_AP018207.1	6870854	6912896	{NRP}	{nrp,nrps}
18694	50559	NZ_AP018288.1	1487719	1538277	{NRP,Polyketide}	{nrps-like,polyketide,t1pks,t3pks}
18695	44806	NZ_AP018207.1	7045976	7090781	{NRP}	{nrp,nrps}
18696	31739	NZ_AP018288.1	1692667	1724405	{RiPP}	{lanthipeptide-class-ii,ripp,ripp-like}
18697	20831	NZ_AP018207.1	7263660	7284490	{Terpene}	{terpene}
18700	39773	NZ_AP018288.1	1911600	1951372	{NRP,Other}	{nrp,nrps,other}
18701	87947	NZ_AP018207.1	7813982	7901928	{NRP,Saccharide}	{nrp,nrps,saccharide}
18704	57434	NZ_AP018288.1	2174157	2231590	{NRP,Polyketide}	{nrp,nrps,polyketide,t1pks}
18707	66496	NZ_AP018207.1	8141193	8207688	{NRP}	{nrp,nrps}
18712	42540	NZ_AP018288.1	2530914	2573453	{NRP}	{nrp,nrps-like}
18717	34977	NZ_AP018288.1	2648274	2683250	{RiPP}	{ripp,rre-containing,spliceotide}
18719	98813	NZ_AP018207.1	8273422	8372234	{NRP,Polyketide}	{nrp,nrps,polyketide,t1pks}
18727	19965	NZ_AP018288.1	2737857	2757821	{RiPP}	{microviridin,ripp}
18732	87362	NZ_AP018288.1	2920008	3007369	{Other,Polyketide}	{hgle-ks,other,polyketide,t1pks}
18737	59104	NZ_AP018207.1	8378203	8437306	{RiPP}	{cyanobactin,ripp,thiopeptide}
18742	58563	NZ_AP018288.1	3060121	3118683	{NRP}	{nrp,nrps,nrps-like}
18745	56765	NZ_AP018208.1	101218	157982	{NRP}	{nrp,nrps}
18749	53098	NZ_AP018288.1	3259669	3312766	{Polyketide}	{polyketide,t1pks}
18751	56733	NZ_AP018211.1	99218	155950	{Polyketide}	{polyketide,t1pks}
18752	61712	NZ_AP018288.1	3359284	3420995	{Alkaloid,Terpene}	{alkaloid,terpene}
18754	41708	NZ_AP018288.1	3597104	3638811	{NRP}	{nrp,nrps}
18755	99938	NZ_AP018288.1	3692414	3792351	{NRP,Polyketide}	{ladderane,nrp,nrps,nrps-like,polyketide,t1pks}
18756	17625	NZ_AP018288.1	3991631	4009255	{Terpene}	{terpene}
18757	80151	NZ_AP018288.1	4058533	4138683	{NRP,Polyketide}	{nrp,nrps,t1pks}
18758	27386	NZ_AP018288.1	4166782	4194167	{RiPP}	{lap,ripp,thiopeptide}
18761	43481	NZ_AP018288.1	4757873	4801353	{NRP}	{mycosporine-like,nrp}
18762	21107	NZ_AP018288.1	4830886	4851992	{Other}	{indole}
18765	58549	NZ_AP018288.1	5249232	5307780	{NRP,Polyketide,Terpene}	{nrp,nrps-like,polyketide,t1pks,terpene}
18766	73597	NZ_AP018288.1	5668006	5741602	{NRP,Polyketide}	{nrp,nrps,nrps-like,polyketide,t1pks}
18773	32474	NZ_AP018288.1	5831542	5864015	{RiPP}	{lanthipeptide-class-ii,ripp}
18778	20933	NZ_AP018288.1	6402092	6423024	{Terpene}	{terpene}
18779	41377	NZ_AP018248.1	1348244	1389620	{NRP,RiPP}	{lanthipeptide-class-v,nrp}
18781	10465	NZ_AP018248.1	1415697	1426161	{Other}	{phosphonate}
18782	47197	NZ_AP018288.1	6753717	6800913	{Other,Polyketide}	{hgle-ks,other}
18789	22849	NZ_AP018227.1	198630	221478	{Other,RiPP}	{indole,ripp}
18791	69578	NZ_AP018288.1	7698160	7767737	{NRP,Polyketide,RiPP}	{lanthipeptide-class-v,nrp,nrps,polyketide,ripp,t1pks}
18792	19969	NZ_AP018248.1	2697569	2717537	{Terpene}	{terpene}
18795	56419	NZ_AP018248.1	3548574	3604992	{Polyketide,RiPP}	{lanthipeptide-class-v,polyketide,ripp}
18800	45813	NZ_AP018248.1	3804725	3850537	{NRP,RiPP}	{nrp,nrps-like,ripp}
18801	21152	NZ_AP018288.1	8099603	8120754	{NRP}	{cdps}
18804	21465	NZ_AP018227.1	931993	953457	{Other}	{indole}
18805	21344	NZ_AP018288.1	8197393	8218736	{RiPP}	{microviridin,ripp}
18808	25374	NZ_AP018248.1	4040946	4066319	{Terpene}	{terpene}
18810	91886	NZ_AP018288.1	8258232	8350117	{NRP,Polyketide}	{nrp,nrp-metallophore,nrps,polyketide,t1pks}
