"region_gene_id"	"bgc_id"	"region_length"	"contig_name"	"region_start_nt"	"region_end_nt"	"bgc_annotation_id"	"region_class"	"region_category"
1395346388	8490200	13124	SJEE01000008.1	145576	158699	39625950	terpene	NA
1395401841	8490677	21681	VJOX01002034.1	1	21681	39628046	"[""hgle-ks"", ""t1pks""]"	NA
1396670964	8503495	18341	QCEE01000004.1	85617	103957	39683108	terpene	NA
1396691693	8503732	20909	QCEC01000001.1	74290	95198	39684105	terpene	NA
1399329634	8528022	56009	SFAR01000207.1	1201	57209	39788588	"[""t3pks"", ""t1pks"", ""nrps-like""]"	NA
1400617442	8538673	4086	SFAI01000094.1	1	4086	39834796	lanthipeptide-class-v	NA
1403079967	8559370	21269	PGOU01000003.1	159989	181257	39925751	terpene	NA
1403318019	8561291	20543	JAAORI010000003.1	280435	300977	39934200	terpene	NA
1403318172	8561292	21212	JAAORI010000003.1	675975	697186	39934204	terpene	NA
1403845927	8565168	50996	JAHHHK010000006.1	169082	220077	39951392	"[""pufa"", ""hgle-ks""]"	NA
1403853037	8565203	13779	JAHHHK010000073.1	1	13779	39951556	nrps-like	NA
1403915416	8565728	20969	JAHHHY010000020.1	5571	26539	39953892	terpene	NA
1404256798	8568369	29932	JAQMSL010000318.1	1	29932	39965684	"[""nrps"", ""nrps-like""]"	NA
1404409938	8569609	14170	JAHHHM010000044.1	1	14170	39971138	nrps-like	NA
1405736576	8580362	18808	JAGHZO010000074.1	1	18808	40018491	betalactone	NA
1406093903	8583317	5194	JAQMTJ010000038.1	1	5194	40031488	nrps	NA
1406873606	8589337	2323	JAQMSU010000703.1	1	2323	40057867	nrps	NA
1406950315	8589962	35313	JAQMUG010000026.1	244	35556	40060572	nrps	NA
1406953325	8589982	57646	JAQMUG010000202.1	1	57646	40060657	"[""nrps"", ""t1pks"", ""nrps-like""]"	NA
1408187992	8599398	11674	JAPZSF010000023.1	10286	21959	40102163	terpene	NA
1410484192	8616498	7434	JAQCKG010000078.1	1	7434	40177451	t3pks	NA
1410673647	8618033	29143	JACJOA010000051.1	1	29143	40184193	nrps	NA
1411157534	8621784	18160	JANXUJ010000128.1	1	18160	40200590	terpene	NA
1411535652	8624782	4246	JADEWG010000275.1	1	4246	40213527	"[""nrps"", ""nrps-like""]"	NA
1411941758	8627925	20906	QCVQ01000006.1	17054	37959	40227105	terpene	NA
1414475488	8647424	58901	JACYLX010000111.1	1	58901	40311483	"[""nrp-metallophore"", ""nrps"", ""t1pks""]"	NA
1414869867	8650295	38541	JACJQW010000047.1	5318	43858	40324005	nrps-like	NA
1414881183	8650396	25348	JAAURS010000017.1	1	25348	40324424	nrps-like	NA
1415486831	8654796	50359	JAKOGZ010000003.1	8602	58960	40343900	"[""t1pks"", ""nrps-like""]"	NA
1415550717	8655317	22852	JAAURG010000010.1	1	22852	40346123	t1pks	NA
1416020104	8658656	28413	JAAUQT010000031.1	8423	36835	40360863	t1pks	NA
1416631085	8663017	52075	JAAUOG010000005.1	1	52075	40379974	"[""nrps"", ""t1pks""]"	NA
1416757790	8663964	50716	JACJSJ010000032.1	3695	54410	40384171	"[""hgle-ks"", ""t1pks""]"	NA
1416833487	8664479	45935	JALOOL010000006.1	1894	47828	40386441	"[""nrp-metallophore"", ""nrps"", ""t1pks""]"	NA
1416835945	8664495	14023	JALOOL010000141.1	1	14023	40386517	lanthipeptide-class-v	NA
1416981209	8665624	40482	JAAUON010000011.1	18153	58634	40391464	"[""t1pks"", ""hgle-ks""]"	NA
1417158406	8666877	20498	JACJSU010000006.1	138239	158736	40396975	rre-containing	NA
1418434872	8676209	7901	JARFRK010000803.1	1	7901	40437869	terpene	NA
1419934239	8687261	70273	JAKGOQ010000002.1	44096	114368	40486238	"[""nrps"", ""betalactone""]"	NA
1422723437	8707183	20909	QCIS01000002.1	177839	198747	40574110	terpene	NA
1423843566	8714765	28910	CACA01000369.1	1	28910	40609238	t1pks	NA
1447781719	8866349	12847	PBVK01000007.1	1	12847	41312047	terpene	NA
1454365396	8908030	33767	PVWD01000024.1	1	33767	41508103	t1pks	NA
1465874164	8984092	44445	AUZM01000031.1	1	44445	41863252	"[""nrp-metallophore"", ""nrps""]"	NA
1465874431	8984093	26027	AUZM01000031.1	45011	71037	41863257	"[""nrps-like"", ""t1pks""]"	NA
1478199703	9062875	5503	CAQM01000385.1	1	5503	42231667	t1pks	NA
1507898805	9253127	16130	QCQK01000022.1	3418	19547	43130287	terpene	NA
1582248421	9732870	16232	SFBT01000052.1	15903	32134	45460001	terpene	NA
1582342238	9733463	30758	SFBR01000170.1	1	30758	45462884	"[""hgle-ks"", ""rre-containing""]"	NA
1582443710	9734135	24710	SFBP01000006.1	1	24710	45466160	"[""nrps"", ""nrps-like""]"	NA
1610476914	9913906	17075	RGWF01000004.1	16338	33412	46339845	terpene	NA
1632178940	10054057	5841	JAAUUX010000086.1	1	5841	47017380	lanthipeptide-class-v	NA
1632643264	10057146	4715	JAAUTW010000270.1	1	4715	47032244	terpene	NA
1635525072	10076624	11881	JAAUPE010000197.1	1	11881	47126006	mycosporine-like	NA
1635617535	10077249	4457	JAAUOX010000096.1	1	4457	47129040	nrps	NA
1704124756	10520833	18747	JACEGC010000096.1	1	18747	49278171	"[""nrps"", ""rre-containing""]"	NA
1738176911	10748701	43078	JACJRF010000002.1	4147	47224	50378660	t1pks	NA
1738184037	10748741	50240	JACJRF010000040.1	1	50240	50378857	"[""t1pks"", ""nrps""]"	NA
1739188938	10755189	31531	JACJSD010000066.1	1	31531	50409862	"[""nrps"", ""nrps-like""]"	NA
1740142533	10761336	24757	JACJTR010000065.1	1	24757	50439407	t1pks	NA
1757582191	10878083	20778	WBKL01000079.1	1	20778	50999941	terpene	NA
1757585687	10878102	15946	WBKL01000159.1	1	15946	51000036	terpene	NA
1764527242	10924365	4632	JADEXW010000462.1	1	4632	51221685	nrps-like	NA
1764565671	10924583	11552	JADEXN010000106.1	1	11552	51222742	nrps	NA
1764598949	10924782	42389	JADEXK010000022.1	34779	77167	51223708	lanthipeptide-class-v	NA
1764716839	10925694	11582	JADEWW010000168.1	1	11582	51228024	terpene	NA
1764913741	10926939	16735	JADEVX010000097.1	1	16735	51234051	cyanobactin	NA
1774722403	10977718	6451	CAIL01000063	1	6451	51476533	terpene	NA
1791271284	11061525	9968	Ga0055315_1205	1	9968	51875331	hgle-ks	NA
1812268875	11179112	41288	Ga0336786_035	1	41288	52435368	lanthipeptide-class-v	NA
1812494228	11180292	46834	Ga0339042_565	1	46834	52440997	nrps	NA
1812692545	11181326	1478	Ga0336788_281	1	1478	52445953	proteusin	NA
1819074970	11213796	2100	Ga0309087_11146	1	2100	52601118	nrps	NA
1819258721	11214623	13186	Ga0268481_121	1	13186	52605093	terpene	NA
1819336398	11214972	18595	Ga0268467_104	1	18595	52606772	lanthipeptide-class-ii	NA
1820665933	11221387	6921	GQ385960	1	6921	52637419	"[""t1pks"", ""nrps-like""]"	NA
1820807776	11221982	20933	NZ_AANO01000004	56050	76982	52640277	terpene	NA
1821609369	11225667	6915	Ga0373719_1319	1	6915	52657906	nrps-like	NA
1824677869	11240536	6563	Ga0481358_0778	1	6563	52728970	lanthipeptide-class-v	NA
1824678902	11240547	4836	Ga0481358_0967	1	4836	52729023	nrps	NA
1845721410	11370047	49166	JADQBB010000002.1	46993	96158	53346737	"[""nrps"", ""nrps-like""]"	NA
1903910639	11764038	40075	JAHHHN010000012.1	133027	173101	55234336	"[""nrps"", ""t1pks""]"	NA
1905094789	11771803	38688	JAHHGQ010000061.1	1	38688	55271580	"[""t1pks"", ""nrps-like"", ""lanthipeptide-class-ii"", ""proteusin""]"	NA
1907750677	11788612	3899	JAIUYC010000666.1	1	3899	55351800	nrps	NA
1908173336	11791321	3750	JAIWOC010000205.1	1	3750	55364740	"[""proteusin"", ""lanthipeptide-class-ii""]"	NA
1925484930	11905456	20819	JAKGOS010000002.1	164488	185306	55905114	terpene	NA
1942759715	12018593	44439	JADBVT010000114.1	25715	70153	56444644	"[""nrps-like"", ""t1pks"", ""t3pks""]"	NA
1942822011	12019017	80867	JADBVX010000030.1	1	80867	56446654	"[""t1pks"", ""nrps-like"", ""nrps""]"	NA
1943260755	12022022	20810	JADBVM010000145.1	15737	36546	56460785	terpene	NA
1943400123	12022968	26313	JADBVK010000045.1	1	26313	56465294	"[""t1pks"", ""nrps-like""]"	NA
1943527541	12023811	21218	JADBVH010000017.1	3211	24428	56469297	lanthipeptide-class-ii	NA
1943531968	12023847	26314	JADBVH010000328.1	1	26314	56469471	"[""nrps-like"", ""t1pks""]"	NA
1943660480	12024704	20810	JADBVD010000257.1	15737	36546	56473519	terpene	NA
1944420786	12029726	69405	JADBUR010000098.1	1	69405	56497530	"[""nrps"", ""t1pks"", ""nrps-like""]"	NA
1946724459	12044964	4438	JADBSO010000219.1	1	4438	56570244	nrps	NA
1947161231	12047920	42456	JADBSF010000045.1	6017	48472	56584416	"[""nrps"", ""nrps-like""]"	NA
1956324229	12109660	21923	JAFIFC010000013.1	5415	27337	56880118	terpene	NA
1959813398	12133292	20885	JAJPJF010000256.1	1	20885	56992786	t1pks	NA
1959817583	12133333	23242	JAJPJF010000537.1	10242	33483	56992963	nrps-like	NA
1981134946	12282856	33393	JAGQBY010000002.1	1	33393	57697004	"[""nrps-like"", ""nrps""]"	NA
1981242932	12283598	21215	JAGQCB010000007.1	7904	29118	57700521	terpene	NA
1982850856	12294529	4595	JAKSDM010001702.1	1	4595	57751854	transat-pks-like	NA
2011137126	12486714	21242	JAKUHI010000010.1	40422	61663	58656801	terpene	NA
2011192688	12487108	13061	JAKUHK010000028.1	1	13061	58658613	t3pks	NA
2014565625	12510534	7989	JAHCSU010000381.1	1	7989	58767908	hgle-ks	NA
2044694146	12706175	40605	JAQMUF010000038.1	1	40605	59708083	"[""nrps"", ""betalactone"", ""microviridin""]"	NA
2045084550	12708610	39637	JAQMUD010000019.1	4846	44482	59719864	nrps	NA
2049429839	12735920	16170	JAPLHZ010000096.1	1	16170	59851010	t3pks	NA
2056744374	12783226	12874	JAKOGU010000154.1	1	12874	60077165	"[""t1pks"", ""hgle-ks""]"	NA
2086595985	12971337	14893	JAJAZS010000418.1	1	14893	60966875	nrps	NA
2101113331	13062932	70833	JAFBMU010000005.1	228577	299409	61395365	"[""arylpolyene"", ""resorcinol""]"	NA
2101448809	13065149	30171	JAPZRB010000541.1	1	30171	61405793	t1pks	NA
2101661726	13066592	66014	JAPZSR010000179.1	1	66014	61412524	"[""nrps"", ""t1pks"", ""nrps-like""]"	NA
2101774094	13067408	20127	JAPZTF010000188.1	6342	26468	61416270	terpene	NA
2149540589	13117715	21269	CACAVZ010000003.1	112688	133956	61639676	terpene	NA
2149564686	13117862	2179	QCIX01000049.1	1	2179	61640238	terpene	NA
2150177113	13121303	20909	QCUQ01000004.1	66301	87209	61653381	terpene	NA
2150437770	13122928	12452	QBXL01000009.1	918	13369	61659553	terpene	NA
2150593215	13123950	21284	QCNE01000002.1	58707	79990	61663359	terpene	NA
2150640115	13124213	10304	QCJZ01000023.1	1	10304	61664391	terpene	NA
12279148	53953	19492	NC_007335.2	172530	192021	258456	terpene	NA
12279585	53955	20680	NC_007335.2	616295	636974	258462	terpene	NA
12279924	53956	21245	NC_007335.2	1175787	1197031	258468	terpene	NA
15777390	69620	22880	NC_019751.1	982111	1004990	333141	lassopeptide	NA
15777726	69621	75164	NC_019751.1	1984690	2059853	333147	hgle-ks	NA
15778690	69623	43406	NC_019751.1	2067516	2110921	333156	nrps	NA
15779277	69625	20306	NC_019751.1	2258766	2279071	333164	rre-containing	NA
15779562	69626	41770	NC_019751.1	2301356	2343125	333169	lanthipeptide-class-v	NA
15780118	69627	21911	NC_019751.1	2421734	2443644	333176	cyanobactin	NA
15781318	69634	40328	NC_019751.1	2945142	2985469	333207	"[""lanthipeptide-class-v"", ""lanthipeptide-class-ii""]"	NA
15782072	69637	85468	NC_019751.1	3045911	3131378	333224	"[""nrp-metallophore"", ""nrps"", ""t1pks""]"	NA
15783744	69642	22995	NC_019751.1	4442345	4465339	333247	terpene	NA
15784083	69644	20255	NC_019751.1	5191322	5211576	333259	microviridin	NA
15784239	69645	42434	NC_019751.1	5369390	5411823	333263	lanthipeptide-class-v	NA
15784524	69646	41122	NC_019751.1	5520787	5561908	333267	ladderane	NA
15784811	69648	20933	NC_019751.1	6740053	6760985	333276	terpene	NA
15786369	69656	52338	NC_019693.1	441835	494172	333314	nrps	NA
15786844	69658	44162	NC_019693.1	648678	692839	333324	"[""t1pks"", ""nrps""]"	NA
15787190	69660	20927	NC_019693.1	1491066	1511992	333334	terpene	NA
15787304	69661	23246	NC_019693.1	1973513	1996758	333338	lanthipeptide-class-ii	NA
15787444	69662	40870	NC_019693.1	2012892	2053761	333343	nrps-like	NA
15788422	69668	77690	NC_019693.1	3963012	4040701	333372	"[""nrps"", ""nrp-metallophore"", ""t1pks""]"	NA
15790607	69676	22256	NC_019693.1	6626795	6649050	333408	lap	NA
15791031	69678	24524	NC_019693.1	6840785	6865308	333418	oligosaccharide	NA
17772929	78022	19283	NZ_CP007753.1	156491	175773	373340	terpene	NA
17773534	78024	20552	NZ_CP007753.1	593285	613836	373352	terpene	NA
17774018	78028	21212	NZ_CP007753.1	993876	1015087	373364	terpene	NA
1946724019	12044959	3309	JADBSO010000170.1	1	3309	56570223	nrps	NA
1947163322	12047936	9815	JADBSF010000220.1	1	9815	56584493	microviridin	NA
69789336	310177	22729	NZ_CP096032.1	101636	124364	1485673	thioamitides	NA
69789865	310178	20968	NZ_CP096032.1	818468	839435	1485682	terpene	NA
69792232	310184	20933	NZ_CP096032.1	1838810	1859742	1485709	terpene	NA
84914427	382015	21284	NZ_CVSZ01000037.1	35447	56730	1828353	terpene	NA
1944482788	12030103	11917	JADBUQ010000093.1	1	11917	56499331	t3pks	NA
197216380	1049564	23010	NZ_AGIZ01000002.1	297376	320385	4986965	terpene	NA
197329350	1050293	11221	NZ_AESD01000099.1	1	11221	4990443	nrps	NA
200588724	1069952	2615	NZ_CAIP01000252.1	1	2615	5083696	cyanobactin	NA
200588883	1069955	9285	NZ_CAIP01000393.1	1	9285	5083709	cyanobactin	NA
201202283	1073199	25933	NZ_HE972557.1	20256	46188	5099198	cyanobactin	NA
202043735	1077371	75164	NZ_AJLM01000104.1	1	75164	5119071	"[""nrp-metallophore"", ""nrps"", ""t1pks""]"	NA
202732837	1082635	26372	NZ_ALVZ01000136.1	1	26372	5144201	t1pks	NA
202733170	1082637	15774	NZ_ALVZ01000137.1	1	15774	5144211	terpene	NA
206961507	1104607	20068	NZ_ASZQ01000002.1	1	20068	5248701	nrps	NA
207396404	1107103	64035	NZ_KE384589.1	29556	93590	5260498	"[""nrps-like"", ""terpene""]"	NA
213073100	1135384	21212	NZ_JNAQ01000006.1	51065	72276	5395372	terpene	NA
233642727	1239255	42419	NZ_LMTZ01000091.1	95856	138274	5898231	lanthipeptide-class-v	NA
241740916	1279513	44530	NZ_KV757759.1	1830	46359	6090652	"[""t1pks"", ""hgle-ks""]"	NA
269278235	1415834	21908	NZ_BEYQ01000011.1	97361	119268	6745949	terpene	NA
272180973	1431844	4066	NZ_PYCI01000237.1	1	4066	6822031	nrps	NA
284714356	1503974	42724	NZ_RSCJ01000017.1	71007	113730	7167676	nrps-like	NA
291697003	1535904	12519	NZ_BJCE01000104.1	6186	18704	7321830	terpene	NA
310688051	1635159	16926	NZ_JACJQP010000008.1	202899	219824	7795494	nrps-independent-siderophore	NA
312230329	1642613	23464	NZ_JADEWN010000079.1	1	23464	7831268	"[""cyanobactin"", ""lanthipeptide-class-ii""]"	NA
344276548	1811773	25881	NZ_JAIHOM010000050.1	1	25881	8638852	resorcinol	NA
387962311	2020322	21284	NZ_AWNH01000105.1	31416	52699	9634056	terpene	NA
394435418	2051562	20453	NZ_KK073769.1	468961	489413	9782236	rre-containing	NA
394438100	2051580	42375	NZ_KK073769.1	656993	699367	9782304	lanthipeptide-class-v	NA
394444400	2051609	20822	NZ_KK073769.1	1448721	1469542	9782438	terpene	NA
412657816	2132717	37353	NZ_JRFE01000013.1	78101	115453	10172419	nrps	NA
419962418	2170300	6169	NZ_LUHJ01000070.1	1	6169	10351325	ladderane	NA
420001078	2170503	14413	NZ_LVHO01000017.1	50217	64629	10352257	terpene	NA
427693693	2210010	6191	NZ_NMQI01000565.1	1	6191	10540474	terpene	NA
427830749	2210775	41152	NZ_NJHU01000005.1	20319	61470	10544025	arylpolyene	NA
427867799	2210974	29334	NZ_NJHW01000028.1	5515	34848	10544973	arylpolyene	NA
427879170	2211025	5638	NZ_NJHW01000081.1	1	5638	10545215	nrps	NA
442232549	2289673	27366	NZ_VIKX01000259.1	1	27366	10918681	"[""thioamide-nrp"", ""nrps""]"	NA
442254661	2289793	17848	NZ_VILC01000094.1	1	17848	10919243	terpene	NA
442951361	2293259	61852	NZ_BJCK01000001.1	121631	183482	10935768	"[""nrps"", ""nrps-like""]"	NA
444447386	2302177	21923	NZ_WVIC01000009.1	13038	34960	10977695	terpene	NA
445057742	2305937	40108	NZ_JAAGOG010000021.1	26815	66922	10995319	mycosporine-like	NA
446681012	2314966	35928	NZ_QMEA01000310.1	1	35928	11037902	nrps	NA
449331629	2330201	11080	NZ_VDFE01000916.1	1	11080	11109092	nrps-like	NA
449323530	2330131	6182	NZ_VDFF01000296.1	1	6182	11108758	terpene	NA
452486029	2347224	30872	NZ_JACJOF010000024.1	1	30872	11190503	terpene	NA
452487584	2347235	20462	NZ_JACJOI010000011.1	45045	65506	11190556	rre-containing	NA
452498614	2347288	6630	NZ_JACJOQ010000204.1	1	6630	11190805	terpene	NA
452525602	2347432	2774	NZ_JACJPG010000109.1	1	2774	11191496	terpene	NA
452584293	2347698	47274	NZ_JACJPA010000015.1	1152	48425	11192792	nrps	NA
452673319	2348194	44224	NZ_JACJPX010000026.1	54244	98467	11195173	nrps	NA
452707959	2348382	22657	NZ_JACJQU010000024.1	5866	28522	11196073	lassopeptide	NA
452748553	2348602	42313	NZ_JACJSB010000005.1	82164	124476	11197150	t1pks	NA
452765928	2348687	27026	NZ_JACJQK010000068.1	1	27026	11197551	"[""proteusin"", ""napaa"", ""lanthipeptide-class-ii""]"	NA
452802182	2348885	16967	NZ_JACJRS010000046.1	29478	46444	11198512	terpene	NA
452809274	2348931	20933	NZ_JACJSS010000007.1	6677	27609	11198732	terpene	NA
452809521	2348933	43393	NZ_JACJSS010000007.1	76188	119580	11198741	"[""hgle-ks"", ""t1pks""]"	NA
452823080	2349003	20933	NZ_JACJQW010000007.1	70775	91707	11199076	terpene	NA
452823947	2349010	21581	NZ_JACJQW010000007.1	222744	244324	11199098	microviridin	NA
452865559	2349246	11834	NZ_JACJRD010000102.1	1	11834	11200243	cyanobactin	NA
452934691	2349625	59692	NZ_JACJTM010000013.1	25002	84693	11202066	nrps	NA
452988729	2349924	42375	NZ_JACJTA010000017.1	56424	98798	11203511	lanthipeptide-class-v	NA
453078568	2350412	15077	NZ_JACJTR010000041.1	1	15077	11205855	microviridin	NA
453166239	2350875	23324	NZ_JACXAE010000086.1	11637	34960	11208079	indole	NA
454056239	2355530	93909	NZ_JACXXN010000009.1	128530	222438	11230357	"[""nrps"", ""t1pks""]"	NA
454256276	2356413	11515	NZ_JADEXN010000108.1	1	11515	11234581	t1pks	NA
454284798	2356623	42405	NZ_JADEWF010000022.1	11155	53559	11235590	lanthipeptide-class-v	NA
454300478	2356716	70871	NZ_JADEXO010000017.1	1	70871	11236020	"[""t1pks"", ""nrps-like"", ""nrps""]"	NA
454306999	2356755	16314	NZ_JADEXO010000030.1	1	16314	11236191	terpene	NA
454345677	2356989	16735	NZ_JADEVX010000097.1	1	16735	11237323	cyanobactin	NA
454414696	2357433	30270	NZ_JADEXU010000056.1	15337	45606	11239458	lanthipeptide-class-v	NA
460368650	2389532	41215	NZ_JABXYX010000002.1	1	41215	11391619	nrps	NA
462298193	2399212	20819	NZ_JADOER010000007.1	47309	68127	11437875	terpene	NA
1942692001	12018116	14091	JADBVW010000019.1	1	14091	56442372	cyanobactin	NA
467089918	2423771	36382	NZ_JADWDC010000020.1	1	36382	11554757	"[""t1pks"", ""nrps-like""]"	NA
467600940	2426920	45970	NZ_JAIVFT010000007.1	30508	76477	11569870	nrps	NA
469484021	2437131	29891	NZ_JAKJHX010000055.1	3541	33431	11618380	nrps	NA
474797978	2465283	41098	NZ_JAGQCF010000008.1	219	41316	11752376	t3pks	NA
476088804	2472048	27713	NZ_JAHLYW010000042.1	1	27713	11784536	t1pks	NA
476091612	2472065	41053	NZ_JAHLYY010000037.1	85038	126090	11784611	t3pks	NA
476365032	2473507	18142	NZ_JAMXEY010000051.1	1	18142	11791479	rre-containing	NA
482006777	2500981	63467	NZ_JAQMTO010000022.1	135643	199109	11922598	"[""nrps-like"", ""terpene""]"	NA
482015061	2501061	5994	NZ_JAQMSR010000436.1	1	5994	11922958	nrps	NA
482085677	2501479	22070	NZ_JAQMTD010000261.1	15345	37414	11924943	terpene	NA
482165115	2502001	30589	NZ_JAQMUD010000317.1	1	30589	11927456	nrps-like	NA
1945870729	12039351	19072	JADBTL010000232.1	1	19072	56543390	nrps	NA
492339052	2554171	20939	CH724160.1	56050	76988	12176441	terpene	NA
492339361	2554175	41098	CH724160.1	668553	709650	12176459	t3pks	NA
492561683	2555504	44332	DS989842.1	59765	104096	12182609	nrps	NA
492574431	2555569	23291	DS989847.1	214829	238119	12182912	lanthipeptide-class-ii	NA
494414962	2566469	43180	HE973725.1	66769	109948	12232678	"[""t1pks"", ""terpene""]"	NA
494427789	2566531	46563	HE972943.1	1	46563	12232978	"[""nrps"", ""nrps-like""]"	NA
498790276	2591916	12689	AVFT01000120.1	1	12689	12344440	cyanobactin	NA
513609690	2664964	17744	JTCM02000019.1	1	17744	12682594	terpene	NA
525629876	2733672	22791	MBRD01000002.1	83347	106137	13001800	"[""rre-containing"", ""lassopeptide""]"	NA
525794234	2734810	59977	KV757584.1	1785	61761	13006809	"[""nrps"", ""t1pks""]"	NA
532640604	2776414	13955	NOLI01000123.1	1	13955	13192252	microviridin	NA
535435627	2800355	42487	DGDH01000177.1	444	42930	13291743	lanthipeptide-class-v	NA
539881678	2833254	37575	LAHE01000009.1	1	37575	13434824	hgle-ks	NA
541586627	2845005	29528	NGZT01000073.1	110407	139934	13486221	crocagin	NA
541934571	2847068	47211	NJHU01000403.1	1	47211	13495826	hgle-ks	NA
541983543	2847379	20810	BEIU01000002.1	22689	43498	13497270	terpene	NA
541984248	2847385	20153	BEIU01000002.1	126075	146227	13497291	microviridin	NA
543082620	2854272	12106	PXPM01000084.1	445	12550	13527737	terpene	NA
543113223	2854491	12665	PXPY01000236.1	1	12665	13528732	nrps-independent-siderophore	NA
550398873	2910014	35092	RSCL01000032.1	57870	92961	13782927	nrps-like	NA
588983996	3179733	42606	WXUC01000119.1	4838	47443	14994774	lanthipeptide-class-v	NA
592465934	3206325	22265	JAIQZN010000013.1	1199	23463	15114317	lap	NA
602559919	3270621	2854	JANZYY010000660.1	1	2854	15401441	lassopeptide	NA
635301958	3482222	20265	NZ_LAGX01000001.1	249074	269338	16341903	lap	NA
635349761	3482461	43982	NZ_LAHB01000069.1	271	44252	16343067	"[""t1pks"", ""hgle-ks""]"	NA
635379002	3482629	17830	NZ_LAHG01000075.1	1	17830	16343878	terpene	NA
635386607	3482676	21723	NZ_LAHF01000127.1	1	21723	16344103	lanthipeptide-class-v	NA
636018808	3486172	26061	NZ_NHAI01000030.1	1	26061	16360765	"[""resorcinol"", ""hgle-ks""]"	NA
636022261	3486196	89420	NZ_NHAF01000105.1	66231	155650	16360885	"[""hgle-ks"", ""resorcinol""]"	NA
636026296	3486219	17459	NZ_NMQF01000240.1	1	17459	16360992	"[""t1pks"", ""hgle-ks""]"	NA
636030682	3486247	20933	NZ_NGZU01000033.1	60169	81101	16361124	terpene	NA
636031808	3486253	23138	NZ_NHAE01000089.1	64221	87358	16361158	hgle-ks	NA
637224428	3493126	23412	NZ_PVWO01000014.1	8420	31831	16393832	nrps	NA
643233204	3539738	38541	CAMBZX010000004.1	6706	45246	16583570	t1pks	NA
